Position: [0.0, 0.0, 99.997275], Rotation: [-0.021407666666666665, -0.00447585, 2.039270551465683], Velocity: [-0.006790729176076489, 0.02306420441853401, -0.07613362926191156], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.00011317881960127482, 0.00038440340697556687, 99.99328110617897], Rotation: [-0.04281533333333333, -0.0089517, 2.039270551465683], Velocity: [-0.013581458352152978, 0.04612840883706802, -0.1522672585238231], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.00033953645880382445, 0.0011532102209267005, 99.9880183185369], Rotation: [-0.064223, -0.01342755, 2.039270551465683], Velocity: [-0.020372187528229467, 0.06919261325560203, -0.22840088778573467], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.0006790729176076489, 0.002306420441853401, 99.9814866370738], Rotation: [-0.08563066666666666, -0.0179034, 2.039270551465683], Velocity: [-0.027162916704305956, 0.09225681767413604, -0.3045345170476462], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.0011317881960127482, 0.0038440340697556688, 99.97368606178968], Rotation: [-0.10703833333333332, -0.02237925, 2.039270551465683], Velocity: [-0.033953645880382445, 0.11532102209267006, -0.3806681463095578], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.0016976822940191223, 0.005766051104633503, 99.96461659268452], Rotation: [-0.12844599999999998, -0.0268551, 2.039270551465683], Velocity: [-0.040744375056458934, 0.13838522651120408, -0.4568017755714694], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.002376755211626771, 0.008072471546486904, 99.95427822975833], Rotation: [-0.14985366666666664, -0.031330949999999996, 2.039270551465683], Velocity: [-0.04753510423253542, 0.1614494309297381, -0.532935404833381], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.0031690069488356947, 0.010763295395315873, 99.9426709730111], Rotation: [-0.1712613333333333, -0.0358068, 2.039270551465683], Velocity: [-0.05432583340861191, 0.18451363534827211, -0.6090690340952926], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.004074437505645893, 0.013838522651120408, 99.92979482244284], Rotation: [-0.19266899999999995, -0.04028265, 2.039270551465683], Velocity: [-0.0611165625846884, 0.20757783976680613, -0.6852026633572041], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.005093046882057367, 0.01729815331390051, 99.91564977805356], Rotation: [-0.2140766666666666, -0.04475850000000001, 2.039270551465683], Velocity: [-0.06790729176076489, 0.23064204418534015, -0.7613362926191157], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.006224835078070115, 0.02114218738365618, 99.90023583984325], Rotation: [-0.23548433333333327, -0.04923435000000001, 2.039270551465683], Velocity: [-0.07469802093684139, 0.25370624860387414, -0.8374699218810273], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.007469802093684138, 0.025370624860387415, 99.8835530078119], Rotation: [-0.25689199999999995, -0.053710200000000013, 2.039270551465683], Velocity: [-0.08148875011291787, 0.27677045302240816, -0.9136035511429389], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.008827947928899436, 0.029983465744094218, 99.86560128195951], Rotation: [-0.2782996666666666, -0.05818605000000002, 2.039270551465683], Velocity: [-0.08827947928899435, 0.2998346574409422, -0.9897371804048505], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.010299272583716008, 0.03498071003477659, 99.8463806622861], Rotation: [-0.29970733333333327, -0.06266190000000002, 2.039270551465683], Velocity: [-0.09507020846507083, 0.3228988618594762, -1.065870809666762], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.011883776058133854, 0.040362357732434524, 99.82589114879165], Rotation: [-0.32111499999999993, -0.06713775000000002, 2.039270551465683], Velocity: [-0.10186093764114731, 0.3459630662780102, -1.1420044389286734], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.013581458352152976, 0.04612840883706803, 99.80413274147618], Rotation: [-0.3425226666666666, -0.07161360000000003, 2.039270551465683], Velocity: [-0.1086516668172238, 0.36902727069654423, -1.218138068190585], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.015392319465773373, 0.052278863348677096, 99.78110544033967], Rotation: [-0.36393033333333324, -0.07608945000000003, 2.039270551465683], Velocity: [-0.11544239599330028, 0.39209147511507825, -1.2942716974524964], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.017316359398995045, 0.05881372126726173, 99.75680924538213], Rotation: [-0.3853379999999999, -0.08056530000000003, 2.039270551465683], Velocity: [-0.12223312516937676, 0.41515567953361227, -1.3704053267144078], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.019353578151817992, 0.06573298259282194, 99.73124415660355], Rotation: [-0.40674566666666656, -0.08504115000000004, 2.039270551465683], Velocity: [-0.12902385434545324, 0.4382198839521463, -1.4465389559763193], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.021503975724242213, 0.07303664732535771, 99.70441017400394], Rotation: [-0.4281533333333332, -0.08951700000000004, 2.039270551465683], Velocity: [-0.13581458352152972, 0.4612840883706803, -1.5226725852382308], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.023767552116267708, 0.08072471546486905, 99.6763072975833], Rotation: [-0.4495609999999999, -0.09399285000000004, 2.039270551465683], Velocity: [-0.1426053126976062, 0.4843482927892143, -1.5988062145001423], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
Position: [-0.026144307327894478, 0.08879718701135596, 99.64693552734164], Rotation: [-0.47096866666666654, -0.09846870000000005, 2.039270551465683], Velocity: [-0.1493960418736827, 0.5074124972077483, -1.6749398437620537], Thrust Rotation: (-1.28446, -0.268551), Thrust Magnitude: 0.554216
