Position: [0.0, 0.0, 99.997275], Rotation: [-0.0162801, -0.00841955, 4.501213223822247], Velocity: [-26.99801602375721, 39.97631053849559, 87.06184673049891], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-0.4499669337292868, 0.6662718423082599, 101.44558077884165], Rotation: [-0.0325602, -0.0168391, 4.501213223822247], Velocity: [-53.99603204751442, 79.95262107699118, 174.12369346099783], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-1.3499008011878604, 1.9988155269247796, 104.34491733652494], Rotation: [-0.048840299999999996, -0.02525865, 4.501213223822247], Velocity: [-80.99404807127164, 119.92893161548676, 261.1855401914967], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-2.6998016023757208, 3.9976310538495587, 108.69528467304988], Rotation: [-0.0651204, -0.0336782, 4.501213223822247], Velocity: [-107.99206409502884, 159.90524215398236, 348.24738692199566], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-4.499669337292868, 6.662718423082598, 114.49668278841648], Rotation: [-0.08140049999999999, -0.042097749999999996, 4.501213223822247], Velocity: [-134.99008011878604, 199.88155269247795, 435.3092336524946], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-6.749504005939302, 9.994077634623897, 121.74911168262472], Rotation: [-0.09768059999999998, -0.050517299999999994, 4.501213223822247], Velocity: [-161.98809614254324, 239.85786323097355, 522.3710803829935], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-9.449305608315022, 13.991708688473457, 130.4525713556746], Rotation: [-0.11396069999999997, -0.05893684999999999, 4.501213223822247], Velocity: [-188.98611216630044, 279.83417376946915, 609.4329271134924], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-12.59907414442003, 18.655611584631277, 140.60706180756614], Rotation: [-0.13024079999999996, -0.0673564, 4.501213223822247], Velocity: [-215.98412819005765, 319.8104843079647, 696.4947738439913], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-16.198809614254323, 23.985786323097358, 152.21258303829933], Rotation: [-0.14652089999999995, -0.07577595, 4.501213223822247], Velocity: [-242.98214421381485, 359.7867948464603, 783.5566205744902], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-20.2485120178179, 29.982232903871697, 165.26913504787416], Rotation: [-0.16280099999999995, -0.08419549999999999, 4.501213223822247], Velocity: [-269.9801602375721, 399.76310538495585, 870.6184673049892], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-24.74818135511077, 36.64495132695429, 179.77671783629063], Rotation: [-0.17908109999999994, -0.09261504999999999, 4.501213223822247], Velocity: [-296.9781762613293, 439.7394159234514, 957.6803140354881], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-29.697817626132924, 43.97394159234515, 195.73533140354877], Rotation: [-0.19536119999999993, -0.10103459999999999, 4.501213223822247], Velocity: [-323.9761922850865, 479.715726461947, 1044.742160765987], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-35.09742083088437, 51.96920370004427, 213.14497574964855], Rotation: [-0.21164129999999992, -0.10945414999999999, 4.501213223822247], Velocity: [-350.9742083088437, 519.6920370004426, 1131.8040074964858], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-40.946990969365096, 60.63073765005164, 232.00565087458997], Rotation: [-0.2279213999999999, -0.11787369999999998, 4.501213223822247], Velocity: [-377.9722243326009, 559.6683475389382, 1218.8658542269848], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-47.24652804157511, 69.95854344236727, 252.31735677837304], Rotation: [-0.2442014999999999, -0.12629325, 4.501213223822247], Velocity: [-404.9702403563581, 599.6446580774337, 1305.9277009574837], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-53.99603204751441, 79.95262107699116, 274.0800934609978], Rotation: [-0.2604815999999999, -0.1347128, 4.501213223822247], Velocity: [-431.9682563801153, 639.6209686159293, 1392.9895476879826], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-61.195502987183, 90.61297055392332, 297.29386092246415], Rotation: [-0.27676169999999994, -0.14313235, 4.501213223822247], Velocity: [-458.9662724038725, 679.5972791544249, 1480.0513944184816], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-68.84494086058088, 101.93959187316374, 321.95865916277216], Rotation: [-0.29304179999999996, -0.1515519, 4.501213223822247], Velocity: [-485.9642884276297, 719.5735896929205, 1567.1132411489805], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-76.94434566770803, 113.93248503471241, 348.0744881819218], Rotation: [-0.3093219, -0.15997145, 4.501213223822247], Velocity: [-512.9623044513869, 759.549900231416, 1654.1750878794794], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-85.49371740856448, 126.59165003856936, 375.6413479799131], Rotation: [-0.325602, -0.16839099999999999, 4.501213223822247], Velocity: [-539.9603204751442, 799.5262107699116, 1741.2369346099783], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-94.49305608315021, 139.91708688473454, 404.6592385567461], Rotation: [-0.3418821, -0.17681054999999998, 4.501213223822247], Velocity: [-566.9583364989014, 839.5025213084072, 1828.2987813404773], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-103.94236169146524, 153.908795573208, 435.12815991242076], Rotation: [-0.35816220000000004, -0.18523009999999998, 4.501213223822247], Velocity: [-593.9563525226587, 879.4788318469027, 1915.3606280709762], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-113.84163423350955, 168.56677610398972, 467.04811204693704], Rotation: [-0.37444230000000006, -0.19364964999999998, 4.501213223822247], Velocity: [-620.9543685464159, 919.4551423853983, 2002.4224748014751], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
