Position: [0.0, 0.0, 99.997275], Rotation: [-0.23901333333333333, -0.06949828333333333, 6.027700566466321], Velocity: [-8.705925445413335, -42.16042812831196, -26.114937165882786], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-0.14509875742355557, -0.7026738021385327, 99.5593010472353], Rotation: [-0.47802666666666666, -0.13899656666666665, 6.027700566466321], Velocity: [-17.41185089082667, -84.32085625662393, -52.22987433176557], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-0.4352962722706667, -2.108021406415598, 98.68607814170586], Rotation: [-0.71704, -0.20849484999999998, 6.027700566466321], Velocity: [-26.117776336240006, -126.48128438493589, -78.34481149764835], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-0.8705925445413334, -4.216042812831196, 97.37760628341172], Rotation: [-0.9560533333333333, -0.2779931333333333, 6.027700566466321], Velocity: [-34.82370178165334, -168.64171251324785, -104.45974866353114], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-1.4509875742355556, -7.026738021385327, 95.63388547235287], Rotation: [-1.1950666666666667, -0.3474914166666666, 6.027700566466321], Velocity: [-43.529627227066676, -210.80214064155982, -130.57468582941394], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-2.1764813613533334, -10.54010703207799, 93.45491570852931], Rotation: [-1.43408, -0.4169896999999999, 6.027700566466321], Velocity: [-52.23555267248001, -252.96256876987178, -156.68962299529673], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-3.047073905894667, -14.756149844909187, 90.84069699194103], Rotation: [-1.6730933333333333, -0.4864879833333332, 6.027700566466321], Velocity: [-60.94147811789335, -295.1229968981837, -182.80456016117952], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-4.062765207859556, -19.674866459878913, 87.79122932258804], Rotation: [-1.9121066666666666, -0.5559862666666665, 6.027700566466321], Velocity: [-69.64740356330668, -337.2834250264957, -208.91949732706232], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-5.223555267248001, -25.296256876987176, 84.30651270047034], Rotation: [-2.15112, -0.6254845499999998, 6.027700566466321], Velocity: [-78.35332900872001, -379.4438531548077, -235.0344344929451], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-6.529444084060001, -31.620321096233972, 80.38654712558792], Rotation: [-2.3901333333333334, -0.6949828333333331, 6.027700566466321], Velocity: [-87.05925445413334, -421.6042812831197, -261.1493716588279], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-7.980431658295557, -38.6470591176193, 76.03133259794079], Rotation: [-2.6291466666666667, -0.7644811166666664, 6.027700566466321], Velocity: [-95.76517989954667, -463.7647094114317, -287.26430882471067], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-9.576517989954668, -46.37647094114316, 71.24086911752894], Rotation: [-2.86816, -0.8339793999999997, 6.027700566466321], Velocity: [-104.47110534496, -505.9251375397437, -313.37924599059346], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-11.317703079037335, -54.80855656680556, 66.01515668435239], Rotation: [-3.1071733333333333, -0.903477683333333, 6.027700566466321], Velocity: [-113.17703079037332, -548.0855656680557, -339.49418315647625], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-13.203986925543557, -63.943315994606486, 60.35419529841112], Rotation: [-3.3461866666666666, -0.9729759666666663, 6.027700566466321], Velocity: [-121.88295623578665, -590.2459937963677, -365.60912032235905], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-15.235369529473335, -73.78074922454594, 54.257984959705134], Rotation: [-3.5852, -1.0424742499999997, 6.027700566466321], Velocity: [-130.58888168119998, -632.4064219246796, -391.72405748824184], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-17.411850890826667, -84.32085625662394, 47.72652566823444], Rotation: [-3.8242133333333332, -1.111972533333333, 6.027700566466321], Velocity: [-139.2948071266133, -674.5668500529916, -417.83899465412463], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-19.733431009603557, -95.56363709084047, 40.759817423999024], Rotation: [-4.063226666666667, -1.1814708166666663, 6.027700566466321], Velocity: [-148.00073257202664, -716.7272781813036, -443.9539318200074], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-22.200109885804, -107.50909172719554, 33.3578602269989], Rotation: [-4.30224, -1.2509690999999996, 6.027700566466321], Velocity: [-156.70665801743996, -758.8877063096156, -470.0688689858902], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-24.811887519427998, -120.15722016568913, 25.520654077234063], Rotation: [-4.541253333333334, -1.320467383333333, 6.027700566466321], Velocity: [-165.4125834628533, -801.0481344379276, -496.183806151773], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-27.568763910475553, -133.50802240632126, 17.248198974704515], Rotation: [-4.780266666666667, -1.3899656666666662, 6.027700566466321], Velocity: [-174.11850890826662, -843.2085625662396, -522.2987433176557], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-30.470739058946663, -147.5614984490919, 8.540494919410252], Rotation: [-5.01928, -1.4594639499999995, 6.027700566466321], Velocity: [-182.82443435367995, -885.3689906945516, -548.4136804835385], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
Position: [-33.517812964841326, -162.31764829400112, -0.6024580886487243], Rotation: [-5.2582933333333335, -1.5289622333333328, 6.027700566466321], Velocity: [-191.53035979909328, -927.5294188228636, -574.5286176494213], Thrust Rotation: (-14.3408, -4.169897), Thrust Magnitude: 307.443464
fitness: 22
