Position: [0.0, 0.0, 99.997275], Rotation: [-0.23373363333333333, -0.18469038333333332, 4.632703264593547], Velocity: [0.0017580208524977327, -0.015470864881491256, -0.1621600050727411], Thrust Rotation: (-14.024018, -11.081423), Thrust Magnitude: 0.095584
Position: [2.930034754162888e-05, -0.00025784774802485426, 99.99184733324878], Rotation: [-0.46746726666666666, -0.36938076666666664, 4.632703264593547], Velocity: [0.0035160417049954653, -0.03094172976298251, -0.3243200101454822], Thrust Rotation: (-14.024018, -11.081423), Thrust Magnitude: 0.095584
Position: [8.790104262488664e-05, -0.0007735432440745628, 99.98371699974636], Rotation: [-0.7012009, -0.55407115, 4.632703264593547], Velocity: [0.005274062557493198, -0.04641259464447377, -0.48648001521822326], Thrust Rotation: (-14.024018, -11.081423), Thrust Magnitude: 0.095584
Position: [0.00017580208524977325, -0.0015470864881491255, 99.97288399949272], Rotation: [-0.9349345333333333, -0.7387615333333333, 4.632703264593547], Velocity: [0.007032083409990931, -0.06188345952596502, -0.6486400202909643], Thrust Rotation: (-14.024018, -11.081423), Thrust Magnitude: 0.095584
Position: [0.00029300347541628876, -0.0025784774802485423, 99.95934833248788], Rotation: [-1.1686681666666667, -0.9234519166666666, 4.632703264593547], Velocity: [0.008790104262488663, -0.07735432440745628, -0.8108000253637054], Thrust Rotation: (-14.024018, -11.081423), Thrust Magnitude: 0.095584
Position: [0.0004395052131244331, -0.003867716220372814, 99.94310999873181], Rotation: [-1.4024018, -1.1081423, 4.632703264593547], Velocity: [0.010548125114986396, -0.09282518928894753, -0.9729600304364465], Thrust Rotation: (-14.024018, -11.081423), Thrust Magnitude: 0.095584
Position: [0.0006153072983742064, -0.00541480270852194, 99.92416899822454], Rotation: [-1.6361354333333333, -1.2928326833333332, 4.632703264593547], Velocity: [0.012306145967484129, -0.10829605417043879, -1.1351200355091877], Thrust Rotation: (-14.024018, -11.081423), Thrust Magnitude: 0.095584
Position: [0.0008204097311656086, -0.00721973694469592, 99.90252533096606], Rotation: [-1.8698690666666666, -1.4775230666666666, 4.632703264593547], Velocity: [0.014064166819981861, -0.12376691905193005, -1.2972800405819287], Thrust Rotation: (-14.024018, -11.081423), Thrust Magnitude: 0.095584
Position: [0.0010548125114986395, -0.009282518928894753, 99.87817899695636], Rotation: [-2.1035569166666668, -1.4982069833333331, 4.632703264593547], Velocity: [0.002602190163860686, -0.025311253222061, -1.4268551981035869], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [0.0010981823475629843, -0.009704373149262436, 99.85167307698798], Rotation: [-2.3372447666666667, -1.5188908999999997, 4.632703264593547], Velocity: [-0.008859786492260489, 0.07314441260780805, -1.556430355625245], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [0.0009505192393586429, -0.008485299605798968, 99.82300757106088], Rotation: [-2.5709326166666666, -1.5395748166666663, 4.632703264593547], Velocity: [-0.020321763148381664, 0.1716000784376771, -1.6860055131469032], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [0.0006118231868856151, -0.00562529829850435, 99.7921824791751], Rotation: [-2.8046204666666665, -1.5602587333333329, 4.632703264593547], Velocity: [-0.03178373980450284, 0.27005574426754614, -1.8155806706685613], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [8.209419014390117e-05, -0.0011243692273785804, 99.75919780133061], Rotation: [-3.0383083166666665, -1.5809426499999994, 4.632703264593547], Velocity: [-0.043245716460624015, 0.36851141009741517, -1.9451558281902195], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.0006386677508664991, 0.005017487607578339, 99.72405353752744], Rotation: [-3.2719961666666664, -1.601626566666666, 4.632703264593547], Velocity: [-0.05470769311674519, 0.4669670759272842, -2.0747309857118776], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.0015504626361455857, 0.012800272206366408, 99.68674968776557], Rotation: [-3.5056840166666663, -1.6223104833333326, 4.632703264593547], Velocity: [-0.06616966977286637, 0.5654227417571532, -2.2043061432335356], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.0026532904656933584, 0.022223984568985628, 99.647286252045], Rotation: [-3.739371866666666, -1.6429943999999992, 4.632703264593547], Velocity: [-0.07763164642898754, 0.6638784075870223, -2.3338813007551935], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.003947151239509818, 0.033288624695436, 99.60566323036575], Rotation: [-3.973059716666666, -1.6636783166666658, 4.632703264593547], Velocity: [-0.08909362308510871, 0.7623340734168914, -2.4634564582768514], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.005432044957594963, 0.045994192585717526, 99.5618806227278], Rotation: [-4.2067475666666665, -1.6843622333333323, 4.632703264593547], Velocity: [-0.10055559974122988, 0.8607897392467605, -2.5930316157985094], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.007107971619948794, 0.0603406882398302, 99.51593842913115], Rotation: [-4.440435416666666, -1.705046149999999, 4.632703264593547], Velocity: [-0.11201757639735105, 0.9592454050766296, -2.7226067733201673], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.008974931226571312, 0.07632811165777403, 99.46783664957582], Rotation: [-4.674123266666666, -1.7257300666666655, 4.632703264593547], Velocity: [-0.12347955305347222, 1.0577010709064987, -2.8521819308418253], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.011032923777462516, 0.093956462839549, 99.41757528406178], Rotation: [-4.907811116666666, -1.746413983333332, 4.632703264593547], Velocity: [-0.1349415297095934, 1.1561567367363677, -2.981757088363483], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.013281949272622405, 0.11322574178515513, 99.36515433258906], Rotation: [-5.141498966666666, -1.7670978999999987, 4.632703264593547], Velocity: [-0.14640350636571456, 1.2546124025662366, -3.111332245885141], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.01572200771205098, 0.1341359484945924, 99.31057379515764], Rotation: [-5.375186816666666, -1.7877818166666652, 4.632703264593547], Velocity: [-0.15786548302183573, 1.3530680683961056, -3.240907403406799], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.018353099095748244, 0.15668708296786082, 99.25383367176752], Rotation: [-5.608874666666666, -1.8084657333333318, 4.632703264593547], Velocity: [-0.1693274596779569, 1.4515237342259746, -3.370482560928457], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.021175223423714192, 0.1808791452049604, 99.19493396241872], Rotation: [-5.842562516666666, -1.8291496499999984, 4.632703264593547], Velocity: [-0.18078943633407807, 1.5499794000558436, -3.500057718450115], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.024188380695948825, 0.20671213520589113, 99.13387466711121], Rotation: [-6.076250366666666, -1.849833566666665, 4.632703264593547], Velocity: [-0.19225141299019924, 1.6484350658857125, -3.629632875971773], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.027392570912452147, 0.234186052970653, 99.07065578584502], Rotation: [-6.309938216666666, -1.8705174833333316, 4.632703264593547], Velocity: [-0.2037133896463204, 1.7468907317155815, -3.759208033493431], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.030787794073224153, 0.26330089849924604, 99.00527731862013], Rotation: [-6.543626066666666, -1.8912013999999981, 4.632703264593547], Velocity: [-0.21517536630244158, 1.8453463975454505, -3.8887831910150887], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.034374050178264844, 0.2940566717916702, 98.93773926543655], Rotation: [-6.777313916666666, -1.9118853166666647, 4.632703264593547], Velocity: [-0.22663734295856275, 1.9438020633753195, -4.018358348536747], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.03815133922757422, 0.3264533728479255, 98.86804162629427], Rotation: [-7.0110017666666655, -1.9325692333333313, 4.632703264593547], Velocity: [-0.23809931961468392, 2.0422577292051884, -4.147933506058405], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.04211966122115229, 0.360491001668012, 98.7961844011933], Rotation: [-7.244689616666665, -1.9532531499999979, 4.632703264593547], Velocity: [-0.2495612962708051, 2.1407133950350574, -4.277508663580063], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.046279016158999035, 0.3961695582519296, 98.72216759013364], Rotation: [-7.478377466666665, -1.9739370666666645, 4.632703264593547], Velocity: [-0.2610232729269263, 2.2391690608649264, -4.407083821101721], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.050629404041114476, 0.4334890425996784, 98.64599119311528], Rotation: [-7.712065316666665, -1.994620983333331, 4.632703264593547], Velocity: [-0.2724852495830475, 2.3376247266947954, -4.536658978623379], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.0551708248674986, 0.4724494547112583, 98.56765521013823], Rotation: [-7.945753166666665, -2.0153048999999976, 4.632703264593547], Velocity: [-0.2839472262391687, 2.4360803925246644, -4.666234136145037], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.05990327863815141, 0.5130507945866694, 98.48715964120248], Rotation: [-8.179441016666665, -2.035988816666664, 4.632703264593547], Velocity: [-0.2954092028952899, 2.5345360583545333, -4.795809293666695], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.06482676535307291, 0.5552930622259116, 98.40450448630804], Rotation: [-8.413128866666666, -2.056672733333331, 4.632703264593547], Velocity: [-0.3068711795514111, 2.6329917241844023, -4.925384451188353], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.0699412850122631, 0.599176257628985, 98.31968974545491], Rotation: [-8.646816716666667, -2.0773566499999974, 4.632703264593547], Velocity: [-0.3183331562075323, 2.7314473900142713, -5.054959608710011], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.07524683761572197, 0.6447003807958895, 98.23271541864308], Rotation: [-8.880504566666668, -2.098040566666664, 4.632703264593547], Velocity: [-0.3297951328636535, 2.8299030558441403, -5.1845347662316685], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.08074342316344953, 0.6918654317266252, 98.14358150587256], Rotation: [-9.114192416666668, -2.1187244833333305, 4.632703264593547], Velocity: [-0.34125710951977467, 2.9283587216740092, -5.3141099237533265], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.08643104165544577, 0.740671410421192, 98.05228800714333], Rotation: [-9.34788026666667, -2.139408399999997, 4.632703264593547], Velocity: [-0.35271908617589587, 3.026814387503878, -5.443685081274984], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.09230969309171069, 0.79111831687959, 97.95883492245541], Rotation: [-9.58156811666667, -2.1600923166666637, 4.632703264593547], Velocity: [-0.36418106283201707, 3.125270053333747, -5.573260238796642], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.09837937747224432, 0.8432061511018191, 97.86322225180879], Rotation: [-9.81525596666667, -2.1807762333333303, 4.632703264593547], Velocity: [-0.37564303948813826, 3.223725719163616, -5.7028353963183], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.10464009479704663, 0.8969349130878793, 97.76544999520348], Rotation: [-10.048943816666672, -2.201460149999997, 4.632703264593547], Velocity: [-0.38710501614425946, 3.322181384993485, -5.832410553839958], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.11109184506611762, 0.9523046028377707, 97.66551815263948], Rotation: [-10.282631666666672, -2.2221440666666634, 4.632703264593547], Velocity: [-0.39856699280038066, 3.420637050823354, -5.961985711361616], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.1177346282794573, 1.0093152203514932, 97.56342672411678], Rotation: [-10.516319516666673, -2.24282798333333, 4.632703264593547], Velocity: [-0.41002896945650186, 3.519092716653223, -6.091560868883274], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.12456844443706566, 1.067966765629047, 97.45917570963539], Rotation: [-10.750007366666674, -2.2635118999999966, 4.632703264593547], Velocity: [-0.42149094611262305, 3.617548382483092, -6.221136026404932], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.13159329353894272, 1.128259238670432, 97.3527651091953], Rotation: [-10.983695216666675, -2.284195816666663, 4.632703264593547], Velocity: [-0.43295292276874425, 3.716004048312961, -6.35071118392659], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.13880917558508846, 1.190192639475648, 97.24419492279652], Rotation: [-11.217383066666676, -2.3048797333333297, 4.632703264593547], Velocity: [-0.44441489942486545, 3.81445971414283, -6.480286341448248], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.1462160905755029, 1.253766968044695, 97.13346515043905], Rotation: [-11.451070916666676, -2.3255636499999963, 4.632703264593547], Velocity: [-0.45587687608098665, 3.912915379972699, -6.609861498969906], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.153814038510186, 1.3189822243775733, 97.02057579212288], Rotation: [-11.684758766666677, -2.346247566666663, 4.632703264593547], Velocity: [-0.46733885273710785, 4.011371045802568, -6.739436656491564], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.1616030193891378, 1.3858384084742827, 96.90552684784802], Rotation: [-11.918446616666678, -2.3669314833333295, 4.632703264593547], Velocity: [-0.47880082939322904, 4.109826711632437, -6.869011814013222], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.16958303321235826, 1.4543355203348234, 96.78831831761447], Rotation: [-12.152134466666679, -2.387615399999996, 4.632703264593547], Velocity: [-0.49026280604935024, 4.208282377462306, -6.99858697153488], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.17775407997984743, 1.5244735599591952, 96.66895020142222], Rotation: [-12.38582231666668, -2.4082993166666626, 4.632703264593547], Velocity: [-0.5017247827054714, 4.306738043292175, -7.128162129056538], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.18611615969160528, 1.5962525273473982, 96.54742249927128], Rotation: [-12.61951016666668, -2.428983233333329, 4.632703264593547], Velocity: [-0.5131867593615925, 4.405193709122044, -7.2577372865781955], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.19466927234763182, 1.6696724224994322, 96.42373521116164], Rotation: [-12.853198016666681, -2.449667149999996, 4.632703264593547], Velocity: [-0.5246487360177137, 4.503649374951913, -7.387312444099853], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.20341341794792706, 1.7447332454152973, 96.29788833709331], Rotation: [-13.086885866666682, -2.4703510666666624, 4.632703264593547], Velocity: [-0.5361107126738348, 4.602105040781782, -7.516887601621511], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.21234859649249097, 1.8214349960949936, 96.16988187706629], Rotation: [-13.320573716666683, -2.491034983333329, 4.632703264593547], Velocity: [-0.547572689329956, 4.700560706611651, -7.646462759143169], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.22147480798132357, 1.899777674538521, 96.03971583108057], Rotation: [-13.554261566666684, -2.5117188999999955, 4.632703264593547], Velocity: [-0.5590346659860771, 4.79901637244152, -7.776037916664827], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.23079205241442485, 1.9797612807458798, 95.90739019913616], Rotation: [-13.787949416666684, -2.532402816666662, 4.632703264593547], Velocity: [-0.5704966426421982, 4.897472038271389, -7.905613074186485], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.24030032979179483, 2.0613858147170694, 95.77290498123305], Rotation: [-14.021637266666685, -2.5530867333333287, 4.632703264593547], Velocity: [-0.5819586192983194, 4.995927704101258, -8.035188231708144], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.24999964011343348, 2.14465127645209, 95.63626017737126], Rotation: [-14.255325116666686, -2.5737706499999953, 4.632703264593547], Velocity: [-0.5934205959544405, 5.094383369931127, -8.164763389229803], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.2598899833793408, 2.229557665950942, 95.49745578755076], Rotation: [-14.489012966666687, -2.594454566666662, 4.632703264593547], Velocity: [-0.6048825726105617, 5.192839035760996, -8.294338546751462], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.26997135958951685, 2.3161049832136253, 95.35649181177158], Rotation: [-14.722700816666688, -2.6151384833333284, 4.632703264593547], Velocity: [-0.6163445492666828, 5.291294701590865, -8.42391370427312], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.28024376874396156, 2.4042932282401397, 95.2133682500337], Rotation: [-14.956388666666689, -2.635822399999995, 4.632703264593547], Velocity: [-0.627806525922804, 5.389750367420734, -8.55348886179478], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.290707210842675, 2.494122401030485, 95.06808510233712], Rotation: [-15.19007651666669, -2.6565063166666616, 4.632703264593547], Velocity: [-0.6392685025789251, 5.488206033250603, -8.683064019316438], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.30136168588565704, 2.585592501584662, 94.92064236868185], Rotation: [-15.42376436666669, -2.677190233333328, 4.632703264593547], Velocity: [-0.6507304792350462, 5.586661699080472, -8.812639176838097], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.3122071938729078, 2.67870352990267, 94.77104004906789], Rotation: [-15.657452216666691, -2.6978741499999948, 4.632703264593547], Velocity: [-0.6621924558911674, 5.685117364910341, -8.942214334359756], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.32324373480442725, 2.773455485984509, 94.61927814349524], Rotation: [-15.891140066666692, -2.7185580666666613, 4.632703264593547], Velocity: [-0.6736544325472885, 5.78357303074021, -9.071789491881415], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.3344713086802154, 2.869848369830179, 94.46535665196387], Rotation: [-16.124827916666693, -2.739241983333328, 4.632703264593547], Velocity: [-0.6851164092034097, 5.882028696570079, -9.201364649403073], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.34588991550027226, 2.9678821814396805, 94.30927557447382], Rotation: [-16.35851576666669, -2.7599258999999945, 4.632703264593547], Velocity: [-0.6965783858595308, 5.980484362399948, -9.330939806924732], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.35749955526459776, 3.067556920813013, 94.15103491102506], Rotation: [-16.59220361666669, -2.780609816666661, 4.632703264593547], Velocity: [-0.7080403625156519, 6.078940028229817, -9.460514964446391], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.36930022797319195, 3.168872587950177, 93.99063466161762], Rotation: [-16.82589146666669, -2.8012937333333277, 4.632703264593547], Velocity: [-0.7195023391717731, 6.177395694059686, -9.59009012196805], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.38129193362605485, 3.271829182851172, 93.82807482625148], Rotation: [-17.05957931666669, -2.8219776499999942, 4.632703264593547], Velocity: [-0.7309643158278942, 6.275851359889555, -9.719665279489709], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.39347467222318644, 3.376426705515998, 93.66335540492665], Rotation: [-17.293267166666688, -2.842661566666661, 4.632703264593547], Velocity: [-0.7424262924840154, 6.374307025719424, -9.849240437011368], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.4058484437645867, 3.482665155944655, 93.49647639764312], Rotation: [-17.526955016666687, -2.8633454833333274, 4.632703264593547], Velocity: [-0.7538882691401365, 6.472762691549293, -9.978815594533026], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.4184132482502556, 3.590544534137143, 93.3274378044009], Rotation: [-17.760642866666686, -2.884029399999994, 4.632703264593547], Velocity: [-0.7653502457962577, 6.571218357379162, -10.108390752054685], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.43116908568019324, 3.700064840093462, 93.15623962519999], Rotation: [-17.994330716666685, -2.9047133166666605, 4.632703264593547], Velocity: [-0.7768122224523788, 6.669674023209031, -10.237965909576344], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.4441159560543996, 3.8112260738136126, 92.98288186004038], Rotation: [-18.228018566666684, -2.925397233333327, 4.632703264593547], Velocity: [-0.7882741991084999, 6.7681296890389, -10.367541067098003], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.45725385937287455, 3.924028235297594, 92.80736450892208], Rotation: [-18.461706416666683, -2.9460811499999937, 4.632703264593547], Velocity: [-0.7997361757646211, 6.866585354868769, -10.497116224619662], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.4705827956356182, 4.038471324545407, 92.62968757184508], Rotation: [-18.695394266666682, -2.9667650666666603, 4.632703264593547], Velocity: [-0.8111981524207422, 6.965041020698638, -10.62669138214132], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.4841027648426306, 4.154555341557051, 92.44985104880939], Rotation: [-18.92908211666668, -2.987448983333327, 4.632703264593547], Velocity: [-0.8226601290768634, 7.063496686528507, -10.75626653966298], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.49781376699391167, 4.272280286332526, 92.26785493981501], Rotation: [-19.16276996666668, -3.0081328999999934, 4.632703264593547], Velocity: [-0.8341221057329845, 7.161952352358376, -10.885841697184638], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.5117158020894614, 4.391646158871832, 92.08369924486193], Rotation: [-19.39645781666668, -3.02881681666666, 4.632703264593547], Velocity: [-0.8455840823891057, 7.260408018188245, -11.015416854706297], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.5258088701292799, 4.512652959174969, 91.89738396395016], Rotation: [-19.630145666666678, -3.0495007333333266, 4.632703264593547], Velocity: [-0.8570460590452268, 7.358863684018114, -11.144992012227956], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
Position: [-0.5400929711133671, 4.635300687241937, 91.7089090970797], Rotation: [-19.863833516666677, -3.070184649999993, 4.632703264593547], Velocity: [-0.8685080357013479, 7.457319349847983, -11.274567169749615], Thrust Rotation: (-14.021271, -1.241035), Thrust Magnitude: 0.640767
