Position: [0.0, 0.0, 99.997275], Rotation: [-0.015393033333333334, 0.010916983333333333, 0.5930408311288585], Velocity: [0.010230687231035901, -0.01353591133393863, -0.14141165439130599], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.00017051145385059836, -0.0002255985222323105, 99.99219313909347], Rotation: [-0.030786066666666667, 0.021833966666666666, 0.5930408311288585], Velocity: [0.020461374462071802, -0.02707182266787726, -0.28282330878261197], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.0005115343615517951, -0.0006767955666969315, 99.98475441728043], Rotation: [-0.0461791, 0.03275095, 0.5930408311288585], Velocity: [0.030692061693107703, -0.04060773400181589, -0.42423496317391796], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.0010230687231035903, -0.001353591133393863, 99.97495883456087], Rotation: [-0.061572133333333334, 0.04366793333333333, 0.5930408311288585], Velocity: [0.040922748924143604, -0.05414364533575452, -0.5656466175652239], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.0017051145385059837, -0.0022559852223231047, 99.96280639093477], Rotation: [-0.07696516666666667, 0.054584916666666664, 0.5930408311288585], Velocity: [0.051153436155179505, -0.06767955666969315, -0.7070582719565299], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.0025576718077589752, -0.003383977833484657, 99.94829708640216], Rotation: [-0.0923582, 0.0655019, 0.5930408311288585], Velocity: [0.061384123386215406, -0.08121546800363177, -0.8484699263478359], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.0035807405308625655, -0.00473756896687852, 99.93143092096304], Rotation: [-0.10775123333333333, 0.07641888333333334, 0.5930408311288585], Velocity: [0.0716148106172513, -0.0947513793375704, -0.9898815807391419], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.004774320707816753, -0.006316758622504693, 99.91220789461738], Rotation: [-0.12314426666666667, 0.08733586666666668, 0.5930408311288585], Velocity: [0.08184549784828721, -0.10828729067150902, -1.1312932351304479], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.00613841233862154, -0.008121546800363177, 99.89062800736521], Rotation: [-0.1385373, 0.09825285000000002, 0.5930408311288585], Velocity: [0.09207618507932311, -0.12182320200544765, -1.2727048895217539], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.007673015423276925, -0.010151933500453972, 99.86669125920652], Rotation: [-0.15393033333333334, 0.10916983333333335, 0.5930408311288585], Velocity: [0.10230687231035901, -0.13535911333938627, -1.4141165439130599], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.00937812996178291, -0.012407918722777076, 99.8403976501413], Rotation: [-0.16932336666666667, 0.1200868166666667, 0.5930408311288585], Velocity: [0.11253755954139491, -0.1488950246733249, -1.5555281983043658], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.01125375595413949, -0.014889502467332491, 99.81174718016956], Rotation: [-0.1847164, 0.13100380000000003, 0.5930408311288585], Velocity: [0.12276824677243081, -0.16243093600726355, -1.6969398526956718], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.013299893400346671, -0.017596684734120217, 99.7807398492913], Rotation: [-0.20010943333333334, 0.14192078333333336, 0.5930408311288585], Velocity: [0.1329989340034667, -0.1759668473412022, -1.8383515070869778], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.015516542300404449, -0.020529465523140254, 99.74737565750651], Rotation: [-0.21550246666666667, 0.15283776666666668, 0.5930408311288585], Velocity: [0.1432296212345026, -0.18950275867514083, -1.9797631614782838], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.017903702654312827, -0.0236878448343926, 99.71165460481521], Rotation: [-0.2308955, 0.16375475, 0.5930408311288585], Velocity: [0.15346030846553851, -0.20303867000907946, -2.1211748158695896], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
