Position: [0.0, 0.0, 99.997275], Rotation: [-0.0014674833333333333, 0.0005960833333333333, 0.29860105614098365], Velocity: [0.02700342974534529, -0.002383788378759216, 0.5941368865934793], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.0004500571624224215, -3.972980631265359e-05, 100.00445228144322], Rotation: [-0.0029349666666666665, 0.0011921666666666667, 0.29860105614098365], Velocity: [0.05400685949069058, -0.004767576757518432, 1.1882737731869586], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.0013501714872672646, -0.00011918941893796078, 100.02153184432967], Rotation: [-0.00440245, 0.00178825, 0.29860105614098365], Velocity: [0.08101028923603587, -0.007151365136277647, 1.782410659780438], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.002700342974534529, -0.00023837883787592156, 100.04851368865934], Rotation: [-0.005869933333333333, 0.0023843333333333334, 0.29860105614098365], Velocity: [0.10801371898138117, -0.009535153515036863, 2.376547546373917], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.004500571624224215, -0.00039729806312653593, 100.08539781443224], Rotation: [-0.0073374166666666666, 0.002980416666666667, 0.29860105614098365], Velocity: [0.13501714872672646, -0.01191894189379608, 2.9706844329673965], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.006750857436336322, -0.000595947094689804, 100.13218422164836], Rotation: [-0.0088049, 0.0035765000000000003, 0.29860105614098365], Velocity: [0.16202057847207174, -0.014302730272555296, 3.564821319560876], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.009451200410870851, -0.0008343259325657255, 100.18887291030771], Rotation: [-0.010272383333333333, 0.004172583333333334, 0.29860105614098365], Velocity: [0.18902400821741702, -0.01668651865131451, 4.158958206154355], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.012601600547827801, -0.0011124345767543006, 100.25546388041028], Rotation: [-0.011739866666666666, 0.004768666666666667, 0.29860105614098365], Velocity: [0.2160274379627623, -0.019070307030073726, 4.753095092747834], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.01620205784720717, -0.0014302730272555293, 100.33195713195607], Rotation: [-0.01320735, 0.00536475, 0.29860105614098365], Velocity: [0.24303086770810758, -0.021454095408832943, 5.347231979341314], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.020252572309008964, -0.0017878412840694117, 100.41835266494509], Rotation: [-0.014674833333333333, 0.005960833333333333, 0.29860105614098365], Velocity: [0.27003429745345287, -0.02383788378759216, 5.941368865934793], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.024753143933233177, -0.0021851393471959478, 100.51465047937734], Rotation: [-0.016142316666666667, 0.006556916666666666, 0.29860105614098365], Velocity: [0.2970377271987982, -0.026221672166351375, 6.535505752528272], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.029703772719879812, -0.0026221672166351372, 100.6208505752528], Rotation: [-0.0176098, 0.007152999999999999, 0.29860105614098365], Velocity: [0.3240411569441435, -0.02860546054511059, 7.129642639121752], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.035104458668948874, -0.0030989248923869806, 100.7369529525715], Rotation: [-0.01907728333333333, 0.007749083333333332, 0.29860105614098365], Velocity: [0.3510445866894888, -0.030989248923869808, 7.723779525715231], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.040955201780440355, -0.0036154123744514773, 100.86295761133341], Rotation: [-0.020544766666666662, 0.008345166666666666, 0.29860105614098365], Velocity: [0.3780480164348341, -0.03337303730262902, 8.31791641230871], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.047256002054354256, -0.0041716296628286275, 100.99886455153856], Rotation: [-0.022012249999999994, 0.00894125, 0.29860105614098365], Velocity: [0.4050514461801794, -0.035756825681388237, 8.91205329890219], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.054006859490690576, -0.004767576757518432, 101.14467377318692], Rotation: [-0.023479733333333325, 0.009537333333333333, 0.29860105614098365], Velocity: [0.4320548759255247, -0.03814061406014745, 9.506190185495669], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.06120777408944932, -0.005403253658520889, 101.30038527627852], Rotation: [-0.024947216666666657, 0.010133416666666667, 0.29860105614098365], Velocity: [0.45905830567087, -0.04052440243890667, 10.100327072089147], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.0688587458506305, -0.006078660365836, 101.46599906081333], Rotation: [-0.02641469999999999, 0.010729500000000001, 0.29860105614098365], Velocity: [0.48606173541621533, -0.042908190817665885, 10.694463958682626], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.07695977477423409, -0.006793796879463765, 101.64151512679138], Rotation: [-0.02788218333333332, 0.011325583333333335, 0.29860105614098365], Velocity: [0.5130651651615606, -0.0452919791964251, 11.288600845276104], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.0855108608602601, -0.007548663199404184, 101.82693347421264], Rotation: [-0.029349666666666652, 0.011921666666666669, 0.29860105614098365], Velocity: [0.540068594906906, -0.04767576757518432, 11.882737731869582], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.09451200410870852, -0.008343259325657255, 102.02225410307713], Rotation: [-0.030817149999999984, 0.012517750000000003, 0.29860105614098365], Velocity: [0.5670720246522513, -0.050059555953943534, 12.47687461846306], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.10396320451957938, -0.00917758525822298, 102.22747701338484], Rotation: [-0.03228463333333332, 0.013113833333333337, 0.29860105614098365], Velocity: [0.5940754543975966, -0.05244334433270275, 13.07101150505654], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.11386446209287265, -0.010051640997101359, 102.44260220513578], Rotation: [-0.03375211666666665, 0.01370991666666667, 0.29860105614098365], Velocity: [0.6210788841429419, -0.054827132711461966, 13.665148391650018], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.12421577682858835, -0.010965426542292392, 102.66762967832994], Rotation: [-0.03521959999999998, 0.014306000000000004, 0.29860105614098365], Velocity: [0.6480823138882872, -0.05721092109022118, 14.259285278243496], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.13501714872672646, -0.011918941893796078, 102.90255943296734], Rotation: [-0.036687083333333315, 0.014902083333333338, 0.29860105614098365], Velocity: [0.6750857436336325, -0.0595947094689804, 14.853422164836974], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.146268577787287, -0.012912187051612418, 103.14739146904795], Rotation: [-0.038154566666666646, 0.015498166666666672, 0.29860105614098365], Velocity: [0.7020891733789778, -0.061978497847739615, 15.447559051430453], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.15797006401026997, -0.013945162015741412, 103.40212578657179], Rotation: [-0.03962204999999998, 0.016094250000000004, 0.29860105614098365], Velocity: [0.7290926031243231, -0.06436228622649882, 16.04169593802393], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.17012160739567536, -0.01501786678618306, 103.66676238553885], Rotation: [-0.04108953333333331, 0.01669033333333334, 0.29860105614098365], Velocity: [0.7560960328696684, -0.06674607460525804, 16.63583282461741], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.18272320794350316, -0.01613030136293736, 103.94130126594914], Rotation: [-0.04255701666666664, 0.017286416666666672, 0.29860105614098365], Velocity: [0.7830994626150137, -0.06912986298401726, 17.229969711210888], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.1957748656537534, -0.017282465746004314, 104.22574242780266], Rotation: [-0.04402449999999997, 0.017882500000000006, 0.29860105614098365], Velocity: [0.810102892360359, -0.07151365136277647, 17.824106597804366], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.20927658052642606, -0.018474359935383922, 104.5200858710994], Rotation: [-0.045491983333333305, 0.01847858333333334, 0.29860105614098365], Velocity: [0.8371063221057043, -0.07389743974153569, 18.418243484397845], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.22322835256152113, -0.019705983931076185, 104.82433159583937], Rotation: [-0.04695946666666664, 0.019074666666666674, 0.29860105614098365], Velocity: [0.8641097518510497, -0.0762812281202949, 19.012380370991323], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.2376301817590386, -0.0209773377330811, 105.13847960202256], Rotation: [-0.04842694999999997, 0.019670750000000008, 0.29860105614098365], Velocity: [0.891113181596395, -0.07866501649905412, 19.6065172575848], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.2524820681189785, -0.02228842134139867, 105.46252988964898], Rotation: [-0.0498944333333333, 0.02026683333333334, 0.29860105614098365], Velocity: [0.9181166113417403, -0.08104880487781334, 20.20065414417828], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.26778401164134086, -0.02363923475602889, 105.79648245871861], Rotation: [-0.05136191666666663, 0.020862916666666675, 0.29860105614098365], Velocity: [0.9451200410870856, -0.08343259325657255, 20.79479103077176], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.28353601232612563, -0.025029777976971767, 106.14033730923148], Rotation: [-0.052829399999999964, 0.02145900000000001, 0.29860105614098365], Velocity: [0.9721234708324309, -0.08581638163533177, 21.388927917365237], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.2997380701733328, -0.026460051004227297, 106.49409444118757], Rotation: [-0.054296883333333296, 0.022055083333333343, 0.29860105614098365], Velocity: [0.9991269005777762, -0.08820017001409099, 21.983064803958715], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.3163901851829624, -0.027930053837795482, 106.85775385458689], Rotation: [-0.05576436666666663, 0.022651166666666677, 0.29860105614098365], Velocity: [1.0261303303231215, -0.0905839583928502, 22.577201690552194], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.3334923573550144, -0.029439786477676318, 107.23131554942943], Rotation: [-0.05723184999999996, 0.02324725000000001, 0.29860105614098365], Velocity: [1.0531337600684667, -0.09296774677160942, 23.171338577145672], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.35104458668948885, -0.030989248923869808, 107.61477952571519], Rotation: [-0.05869933333333329, 0.023843333333333345, 0.29860105614098365], Velocity: [1.080137189813812, -0.09535153515036864, 23.76547546373915], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.36904687318638574, -0.03257844117637595, 108.00814578344418], Rotation: [-0.06016681666666662, 0.02443941666666668, 0.29860105614098365], Velocity: [1.107140619559157, -0.09773532352912785, 24.35961235033263], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.38749921684570504, -0.03420736323519474, 108.4114143226164], Rotation: [-0.061634299999999954, 0.025035500000000013, 0.29860105614098365], Velocity: [1.1341440493045023, -0.10011911190788707, 24.953749236926107], Thrust Rotation: (-0.088049, 0.035765), Thrust Magnitude: 4.63683
Position: [0.40640161766744676, -0.035876015100326196, 108.82458514323183], Rotation: [-0.06310148333333329, 0.023391516666666678, 0.29860105614098365], Velocity: [1.0962504949106593, -0.09677466072763174, 25.174655023191235], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.4246724592492911, -0.03748892611245339, 109.24143772695169], Rotation: [-0.06456866666666662, 0.021747533333333343, 0.29860105614098365], Velocity: [1.0583569405168163, -0.09343020954737642, 25.395560809456363], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.44231174159123804, -0.03904609627157633, 109.66197207377596], Rotation: [-0.06603584999999995, 0.020103550000000008, 0.29860105614098365], Velocity: [1.0204633861229733, -0.0900857583671211, 25.61646659572149], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.4593194646932876, -0.04054752557769502, 110.08618818370465], Rotation: [-0.06750303333333328, 0.018459566666666673, 0.29860105614098365], Velocity: [0.9825698317291304, -0.08674130718686578, 25.83737238198662], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.4756956285554398, -0.041993214030809446, 110.51408605673775], Rotation: [-0.06897021666666661, 0.01681558333333334, 0.29860105614098365], Velocity: [0.9446762773352875, -0.08339685600661045, 26.058278168251746], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.4914402331776946, -0.04338316163091962, 110.94566569287528], Rotation: [-0.07043739999999994, 0.015171600000000006, 0.29860105614098365], Velocity: [0.9067827229414446, -0.08005240482635513, 26.279183954516874], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.506553278560052, -0.044717368378025535, 111.38092709211723], Rotation: [-0.07190458333333327, 0.013527616666666673, 0.29860105614098365], Velocity: [0.8688891685476017, -0.07670795364609981, 26.500089740782002], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.521034764702512, -0.045995834272127195, 111.8198702544636], Rotation: [-0.0733717666666666, 0.01188363333333334, 0.29860105614098365], Velocity: [0.8309956141537588, -0.07336350246584449, 26.72099552704713], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5348846916050746, -0.047218559313224606, 112.26249517991438], Rotation: [-0.07483894999999993, 0.010239650000000006, 0.29860105614098365], Velocity: [0.7931020597599159, -0.07001905128558916, 26.941901313312258], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5481030592677398, -0.04838554350131776, 112.70880186846959], Rotation: [-0.07630613333333326, 0.008595666666666673, 0.29860105614098365], Velocity: [0.755208505366073, -0.06667460010533384, 27.162807099577385], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5606898676905078, -0.04949678683640666, 113.15879032012921], Rotation: [-0.07777331666666659, 0.00695168333333334, 0.29860105614098365], Velocity: [0.7173149509722301, -0.06333014892507852, 27.383712885842513], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5726451168733783, -0.0505522893184913, 113.61246053489326], Rotation: [-0.07924049999999992, 0.005307700000000007, 0.29860105614098365], Velocity: [0.6794213965783872, -0.059985697744823194, 27.60461867210764], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5839688068163514, -0.05155205094757169, 114.06981251276171], Rotation: [-0.08070768333333325, 0.003663716666666674, 0.29860105614098365], Velocity: [0.6415278421845443, -0.05664124656456787, 27.82552445837277], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5946609375194272, -0.05249607172364782, 114.5308462537346], Rotation: [-0.08217486666666658, 0.002019733333333341, 0.29860105614098365], Velocity: [0.6036342877907014, -0.05329679538431255, 28.046430244637897], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6047215089826056, -0.053384351646719695, 114.9955617578119], Rotation: [-0.08364204999999991, 0.0003757500000000078, 0.29860105614098365], Velocity: [0.5657407333968585, -0.049952344204057225, 28.267336030903024], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6141505212058865, -0.054216890716787314, 115.46395902499361], Rotation: [-0.08510923333333324, -0.0012682333333333255, 0.29860105614098365], Velocity: [0.5278471790030156, -0.0466078930238019, 28.488241817168152], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6229479741892702, -0.054993688933850676, 115.93603805527975], Rotation: [-0.08657641666666657, -0.002912216666666659, 0.29860105614098365], Velocity: [0.48995362460917263, -0.04326344184354658, 28.70914760343328], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6311138679327564, -0.05571474629790978, 116.4117988486703], Rotation: [-0.0880435999999999, -0.004556199999999992, 0.29860105614098365], Velocity: [0.4520600702153297, -0.03991899066329126, 28.930053389698408], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6386482024363452, -0.05638006280896464, 116.89124140516527], Rotation: [-0.08951078333333323, -0.006200183333333325, 0.29860105614098365], Velocity: [0.4141665158214867, -0.036574539483035934, 29.150959175963536], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6455509777000367, -0.05698963846701524, 117.37436572476467], Rotation: [-0.09097796666666656, -0.007844166666666659, 0.29860105614098365], Velocity: [0.37627296142764377, -0.03323008830278061, 29.371864962228663], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6518221937238308, -0.057543473272061586, 117.86117180746848], Rotation: [-0.09244514999999989, -0.009488149999999992, 0.29860105614098365], Velocity: [0.3383794070338008, -0.029885637122525285, 29.59277074849379], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6574618505077274, -0.058041567224103675, 118.35165965327671], Rotation: [-0.09391233333333322, -0.011132133333333325, 0.29860105614098365], Velocity: [0.30048585263995786, -0.02654118594226996, 29.81367653475892], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
