Position: [0.0, 0.0, 99.997275], Rotation: [0.0030106499999999997, 0.009356983333333332, 1.3438983805149576], Velocity: [0.037688628059466454, 0.006883065287576162, -0.10258365407568235], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.0006281438009911076, 0.00011471775479293603, 99.99284027243208], Rotation: [0.006021299999999999, 0.018713966666666665, 1.3438983805149576], Velocity: [0.07537725611893291, 0.013766130575152325, -0.2051673081513647], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.001884431402973323, 0.0003441532643788081, 99.98669581729622], Rotation: [0.009031949999999999, 0.028070949999999997, 1.3438983805149576], Velocity: [0.11306588417839936, 0.020649195862728488, -0.307750962227047], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.003768862805946646, 0.0006883065287576162, 99.97884163459244], Rotation: [0.012042599999999999, 0.03742793333333333, 1.3438983805149576], Velocity: [0.15075451223786582, 0.02753226115030465, -0.4103346163027294], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.006281438009911076, 0.0011471775479293604, 99.96927772432073], Rotation: [0.015053249999999999, 0.04678491666666666, 1.3438983805149576], Velocity: [0.18844314029733228, 0.03441532643788081, -0.5129182703784118], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.009422157014866614, 0.0017207663218940406, 99.9580040864811], Rotation: [0.018063899999999997, 0.056141899999999995, 1.3438983805149576], Velocity: [0.22613176835679874, 0.041298391725456976, -0.6155019244540941], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.01319101982081326, 0.0024090728506516567, 99.94502072107353], Rotation: [0.021074549999999997, 0.06549888333333333, 1.3438983805149576], Velocity: [0.2638203964162652, 0.04818145701303314, -0.7180855785297765], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.017588026427751015, 0.003212097134202209, 99.93032762809804], Rotation: [0.024085199999999998, 0.07485586666666666, 1.3438983805149576], Velocity: [0.30150902447573164, 0.055064522300609306, -0.8206692326054589], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.022613176835679875, 0.004129839172545697, 99.91392480755462], Rotation: [0.027095849999999998, 0.08421284999999999, 1.3438983805149576], Velocity: [0.33919765253519807, 0.06194758758818547, -0.9232528866811412], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.028266471044599843, 0.005162298965682122, 99.89581225944328], Rotation: [0.030106499999999998, 0.09356983333333332, 1.3438983805149576], Velocity: [0.3768862805946645, 0.06883065287576164, -1.0258365407568235], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
Position: [0.03454790905451092, 0.006309476513611483, 99.875989983764], Rotation: [0.03311715, 0.10292681666666666, 1.3438983805149576], Velocity: [0.41457490865413094, 0.0757137181633378, -1.1284201948325059], Thrust Rotation: (0.180639, 0.561419), Thrust Magnitude: 0.440138
