Position: [0.0, 0.0, 99.997275], Rotation: [1.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 0.1635], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 99.997275], Rotation: [3.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 0.327], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.0], Rotation: [4.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 0.49050000000000005], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.00545], Rotation: [6.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 0.654], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.01362499999999], Rotation: [7.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 0.8175], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.024525], Rotation: [9.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 0.981], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.03815], Rotation: [10.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 1.1445], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.0545], Rotation: [12.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 1.308], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.073575], Rotation: [13.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 1.4715], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.095375], Rotation: [15.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 1.635], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.1199], Rotation: [16.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 1.7985], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.14715], Rotation: [18.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 1.962], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.17712499999999], Rotation: [19.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 2.1255], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.209825], Rotation: [21.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 2.289], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.24525], Rotation: [22.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 2.4525], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.2834], Rotation: [24.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 2.616], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.324275], Rotation: [25.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 2.7795], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.367875], Rotation: [27.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 2.943], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.4142], Rotation: [28.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 3.1065], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.46324999999999], Rotation: [30.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 3.27], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.515025], Rotation: [31.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 3.4335], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.569525], Rotation: [33.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 3.597], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.62675], Rotation: [34.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 3.7605], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.6867], Rotation: [36.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 3.924], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.749375], Rotation: [37.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 4.0875], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.814775], Rotation: [39.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 4.251], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.88289999999999], Rotation: [40.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 4.4145], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 100.95374999999999], Rotation: [42.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 4.578], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.02732499999999], Rotation: [43.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 4.7415], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.103625], Rotation: [45.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 4.905], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.18265], Rotation: [46.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 5.0685], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.2644], Rotation: [48.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 5.232], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.34887499999999], Rotation: [49.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 5.3955], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.43607499999999], Rotation: [51.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 5.559], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.52599999999998], Rotation: [52.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 5.7225], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.61864999999999], Rotation: [54.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 5.886], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.71402499999999], Rotation: [55.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 6.0495], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.812125], Rotation: [57.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 6.213], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 101.91295], Rotation: [58.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 6.3765], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.0165], Rotation: [60.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 6.54], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.12277499999999], Rotation: [61.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 6.7035], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.23177499999998], Rotation: [63.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 6.867], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.34349999999999], Rotation: [64.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 7.0305], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.45795], Rotation: [66.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 7.194], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.575125], Rotation: [67.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 7.3575], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.695025], Rotation: [69.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 7.521], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.81765], Rotation: [70.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 7.6845], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 102.943], Rotation: [72.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 7.848], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
