Position: [0.0, 0.0, 99.997275], Rotation: [1.345, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.014152069500000003], Thrust Rotation: (80.7, 0.0), Thrust Magnitude: 0.913443
Position: [0.0, 0.0, 99.994314132175], Rotation: [2.6900233333333334, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.028302176999999984], Thrust Rotation: (80.7014, 0.0), Thrust Magnitude: 0.913455
Position: [0.0, 0.0, 99.991117429225], Rotation: [4.035071666666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.04245015899999999], Thrust Rotation: (80.7029, 0.0), Thrust Magnitude: 0.913468
Position: [0.0, 0.0, 99.987684926575], Rotation: [5.38015, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.05659568849999996], Thrust Rotation: (80.7047, 0.0), Thrust Magnitude: 0.913483
Position: [0.0, 0.0, 99.9840166651], Rotation: [6.725255000000001, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.07073892899999998], Thrust Rotation: (80.7063, 0.0), Thrust Magnitude: 0.913497
Position: [0.0, 0.0, 99.98011268295], Rotation: [8.070393333333334, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.08487955349999998], Thrust Rotation: (80.7083, 0.0), Thrust Magnitude: 0.913513
Position: [0.0, 0.0, 99.97597302372499], Rotation: [9.415566666666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.0990170715], Thrust Rotation: (80.7104, 0.0), Thrust Magnitude: 0.913532
Position: [0.0, 0.0, 99.97159773919999], Rotation: [10.760775, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.11315180999999999], Thrust Rotation: (80.7125, 0.0), Thrust Magnitude: 0.913549
Position: [0.0, 0.0, 99.96698687569999], Rotation: [12.106020000000001, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.12728327849999999], Thrust Rotation: (80.7147, 0.0), Thrust Magnitude: 0.913569
Position: [0.0, 0.0, 99.962140487725], Rotation: [13.451306666666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.14141147699999998], Thrust Rotation: (80.7172, 0.0), Thrust Magnitude: 0.913589
Position: [0.0, 0.0, 99.95705862977499], Rotation: [14.796635, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.15553607849999998], Thrust Rotation: (80.7197, 0.0), Thrust Magnitude: 0.913611
Position: [0.0, 0.0, 99.95174136179999], Rotation: [16.142008333333333, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.169657083], Thrust Rotation: (80.7224, 0.0), Thrust Magnitude: 0.913633
Position: [0.0, 0.0, 99.94618874374999], Rotation: [17.487428333333334, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.18377416349999998], Thrust Rotation: (80.7252, 0.0), Thrust Magnitude: 0.913657
Position: [0.0, 0.0, 99.94040084102498], Rotation: [18.832896666666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.19788715649999997], Thrust Rotation: (80.7281, 0.0), Thrust Magnitude: 0.913682
Position: [0.0, 0.0, 99.93437772174998], Rotation: [20.178415, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.21199606199999996], Thrust Rotation: (80.7311, 0.0), Thrust Magnitude: 0.913707
Position: [0.0, 0.0, 99.92811945404998], Rotation: [21.52398666666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.22610055299999995], Thrust Rotation: (80.7343, 0.0), Thrust Magnitude: 0.913734
Position: [0.0, 0.0, 99.92162611149998], Rotation: [22.869613333333337, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.24020046599999995], Thrust Rotation: (80.7376, 0.0), Thrust Magnitude: 0.913762
Position: [0.0, 0.0, 99.91489777039997], Rotation: [24.215295000000005, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.25429563749999995], Thrust Rotation: (80.7409, 0.0), Thrust Magnitude: 0.913791
Position: [0.0, 0.0, 99.90793450977498], Rotation: [25.56103666666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.26838590399999995], Thrust Rotation: (80.7445, 0.0), Thrust Magnitude: 0.913821
Position: [0.0, 0.0, 99.90073641137498], Rotation: [26.906838333333337, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.2824711019999999], Thrust Rotation: (80.7481, 0.0), Thrust Magnitude: 0.913852
Position: [0.0, 0.0, 99.89330355967498], Rotation: [28.25270166666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.2965510679999999], Thrust Rotation: (80.7518, 0.0), Thrust Magnitude: 0.913884
Position: [0.0, 0.0, 99.88563604187497], Rotation: [29.598630000000004, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.3106256384999999], Thrust Rotation: (80.7557, 0.0), Thrust Magnitude: 0.913917
Position: [0.0, 0.0, 99.87773394789997], Rotation: [30.94462666666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.3246946499999999], Thrust Rotation: (80.7598, 0.0), Thrust Magnitude: 0.913951
Position: [0.0, 0.0, 99.86959737039997], Rotation: [32.290690000000005, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.33875793899999995], Thrust Rotation: (80.7638, 0.0), Thrust Magnitude: 0.913986
Position: [0.0, 0.0, 99.86122640474997], Rotation: [33.636825, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.35281550549999996], Thrust Rotation: (80.7681, 0.0), Thrust Magnitude: 0.914021
Position: [0.0, 0.0, 99.85262114632496], Rotation: [34.98303333333334, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.366866859], Thrust Rotation: (80.7725, 0.0), Thrust Magnitude: 0.914059
Position: [0.0, 0.0, 99.84378169867496], Rotation: [36.32931500000001, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.38091216299999997], Thrust Rotation: (80.7769, 0.0), Thrust Magnitude: 0.914096
Position: [0.0, 0.0, 99.83470816262496], Rotation: [37.675675000000005, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.394950927], Thrust Rotation: (80.7816, 0.0), Thrust Magnitude: 0.914136
Position: [0.0, 0.0, 99.82540064717496], Rotation: [39.02211500000001, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.4089829875], Thrust Rotation: (80.7864, 0.0), Thrust Magnitude: 0.914177
Position: [0.0, 0.0, 99.81585926404996], Rotation: [40.36863333333334, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.423008508], Thrust Rotation: (80.7911, 0.0), Thrust Magnitude: 0.914217
Position: [0.0, 0.0, 99.80608412224996], Rotation: [41.71523500000001, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.437026998], Thrust Rotation: (80.7961, 0.0), Thrust Magnitude: 0.91426
Position: [0.0, 0.0, 99.79607533894996], Rotation: [43.06192166666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.4510384575], Thrust Rotation: (80.8012, 0.0), Thrust Magnitude: 0.914303
Position: [0.0, 0.0, 99.78583303132496], Rotation: [44.408698333333334, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.46504255949999995], Thrust Rotation: (80.8066, 0.0), Thrust Magnitude: 0.914348
Position: [0.0, 0.0, 99.77535732199996], Rotation: [45.755565, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.47903914049999996], Thrust Rotation: (80.812, 0.0), Thrust Magnitude: 0.914394
Position: [0.0, 0.0, 99.76464833632497], Rotation: [47.10252, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.49302820049999996], Thrust Rotation: (80.8173, 0.0), Thrust Magnitude: 0.91444
Position: [0.0, 0.0, 99.75370619964997], Rotation: [48.44957, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.5070094125], Thrust Rotation: (80.823, 0.0), Thrust Magnitude: 0.914488
Position: [0.0, 0.0, 99.74253104277497], Rotation: [49.796715, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.5209827764999999], Thrust Rotation: (80.8287, 0.0), Thrust Magnitude: 0.914536
Position: [0.0, 0.0, 99.73112299649998], Rotation: [51.14395666666667, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.5349481289999999], Thrust Rotation: (80.8345, 0.0), Thrust Magnitude: 0.914585
Position: [0.0, 0.0, 99.71948219434998], Rotation: [52.49129833333333, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.5489051429999998], Thrust Rotation: (80.8405, 0.0), Thrust Magnitude: 0.914636
Position: [0.0, 0.0, 99.70760877529997], Rotation: [53.838741666666664, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.5628536549999998], Thrust Rotation: (80.8466, 0.0), Thrust Magnitude: 0.914688
Position: [0.0, 0.0, 99.69550288104998], Rotation: [55.18628666666666, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.5767936649999998], Thrust Rotation: (80.8527, 0.0), Thrust Magnitude: 0.91474
Position: [0.0, 0.0, 99.68316465329997], Rotation: [56.533938333333325, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.5907246824999999], Thrust Rotation: (80.8591, 0.0), Thrust Magnitude: 0.914795
Position: [0.0, 0.0, 99.67059424192497], Rotation: [57.881696666666656, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.6046468709999999], Thrust Rotation: (80.8655, 0.0), Thrust Magnitude: 0.914849
Position: [0.0, 0.0, 99.65779179407497], Rotation: [59.22956499999999, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.6185599034999999], Thrust Rotation: (80.8721, 0.0), Thrust Magnitude: 0.914905
Position: [0.0, 0.0, 99.64475746234997], Rotation: [60.577546666666656, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.6324636164999999], Thrust Rotation: (80.8789, 0.0), Thrust Magnitude: 0.914962
Position: [0.0, 0.0, 99.63149140207497], Rotation: [61.925638333333325, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.6463580099999999], Thrust Rotation: (80.8855, 0.0), Thrust Magnitude: 0.915019
Position: [0.0, 0.0, 99.61799376857498], Rotation: [63.27384666666666, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.6602427569999999], Thrust Rotation: (80.8925, 0.0), Thrust Magnitude: 0.915078
Position: [0.0, 0.0, 99.60426472262498], Rotation: [64.62217499999998, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.6741175304999999], Thrust Rotation: (80.8997, 0.0), Thrust Magnitude: 0.915139
Position: [0.0, 0.0, 99.59030443044998], Rotation: [65.97062166666664, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.6879823304999999], Thrust Rotation: (80.9068, 0.0), Thrust Magnitude: 0.9152
Position: [0.0, 0.0, 99.57611305827497], Rotation: [67.31918999999998, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.7018369935], Thrust Rotation: (80.9141, 0.0), Thrust Magnitude: 0.915262
Position: [0.0, 0.0, 99.56169077504997], Rotation: [68.66788166666664, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.7156813559999999], Thrust Rotation: (80.9215, 0.0), Thrust Magnitude: 0.915325
Position: [0.0, 0.0, 99.54703775244997], Rotation: [70.01669833333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.729515418], Thrust Rotation: (80.929, 0.0), Thrust Magnitude: 0.915388
Position: [0.0, 0.0, 99.53215416214996], Rotation: [71.36564499999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.743338689], Thrust Rotation: (80.9368, 0.0), Thrust Magnitude: 0.915454
Position: [0.0, 0.0, 99.51704018399997], Rotation: [72.71471999999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.757151169], Thrust Rotation: (80.9445, 0.0), Thrust Magnitude: 0.91552
Position: [0.0, 0.0, 99.50169599784996], Rotation: [74.06392666666663, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.7709526945], Thrust Rotation: (80.9524, 0.0), Thrust Magnitude: 0.915587
Position: [0.0, 0.0, 99.48612178627496], Rotation: [75.41326666666663, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.7847431020000001], Thrust Rotation: (80.9604, 0.0), Thrust Magnitude: 0.915655
Position: [0.0, 0.0, 99.47031773457496], Rotation: [76.76274166666663, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.7985222280000001], Thrust Rotation: (80.9685, 0.0), Thrust Magnitude: 0.915724
Position: [0.0, 0.0, 99.45428403077496], Rotation: [78.11235499999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.8122899090000001], Thrust Rotation: (80.9768, 0.0), Thrust Magnitude: 0.915794
Position: [0.0, 0.0, 99.43802086562496], Rotation: [79.4621083333333, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.8260459815000001], Thrust Rotation: (80.9852, 0.0), Thrust Magnitude: 0.915865
Position: [0.0, 0.0, 99.42152843259997], Rotation: [80.81200333333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.8397901185000001], Thrust Rotation: (80.9937, 0.0), Thrust Magnitude: 0.915938
Position: [0.0, 0.0, 99.40480693062497], Rotation: [82.16203999999998, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.8535226470000001], Thrust Rotation: (81.0022, 0.0), Thrust Magnitude: 0.916009
Position: [0.0, 0.0, 99.38785655317497], Rotation: [83.51222499999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.8672427495000001], Thrust Rotation: (81.0111, 0.0), Thrust Magnitude: 0.916085
Position: [0.0, 0.0, 99.37067750734997], Rotation: [84.86255499999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.8809505895000002], Thrust Rotation: (81.0198, 0.0), Thrust Magnitude: 0.91616
Position: [0.0, 0.0, 99.35326999752496], Rotation: [86.21303666666664, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.8946460035000001], Thrust Rotation: (81.0289, 0.0), Thrust Magnitude: 0.916236
Position: [0.0, 0.0, 99.33563423079997], Rotation: [87.56366999999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.9083286645000002], Thrust Rotation: (81.038, 0.0), Thrust Magnitude: 0.916314
Position: [0.0, 0.0, 99.31777041972497], Rotation: [88.91445499999998, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.9219985725000002], Thrust Rotation: (81.0471, 0.0), Thrust Magnitude: 0.916392
Position: [0.0, 0.0, 99.29967877684996], Rotation: [90.26539833333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.9356555640000002], Thrust Rotation: (81.0566, 0.0), Thrust Magnitude: 0.916471
Position: [0.0, 0.0, 99.28135951744996], Rotation: [91.61649833333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.9492993120000002], Thrust Rotation: (81.066, 0.0), Thrust Magnitude: 0.916552
Position: [0.0, 0.0, 99.26281286224996], Rotation: [92.96775833333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.9629298165000002], Thrust Rotation: (81.0756, 0.0), Thrust Magnitude: 0.916633
Position: [0.0, 0.0, 99.24403903197496], Rotation: [94.31917833333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.9765469140000003], Thrust Rotation: (81.0852, 0.0), Thrust Magnitude: 0.916715
Position: [0.0, 0.0, 99.22503825007496], Rotation: [95.67076166666665, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -0.9901504410000003], Thrust Rotation: (81.095, 0.0), Thrust Magnitude: 0.916798
Position: [0.0, 0.0, 99.20581074272496], Rotation: [97.02250999999998, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.0037400705000004], Thrust Rotation: (81.1049, 0.0), Thrust Magnitude: 0.916883
Position: [0.0, 0.0, 99.18635674154996], Rotation: [98.37442666666665, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.0173158025000004], Thrust Rotation: (81.115, 0.0), Thrust Magnitude: 0.916968
Position: [0.0, 0.0, 99.16667647817496], Rotation: [99.72651166666665, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.0308774735000004], Thrust Rotation: (81.1251, 0.0), Thrust Magnitude: 0.917054
Position: [0.0, 0.0, 99.14677018694996], Rotation: [101.07876833333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.0444249200000004], Thrust Rotation: (81.1354, 0.0), Thrust Magnitude: 0.917141
Position: [0.0, 0.0, 99.12663810494996], Rotation: [102.43119999999998, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.0579578150000004], Thrust Rotation: (81.1459, 0.0), Thrust Magnitude: 0.91723
Position: [0.0, 0.0, 99.10628047469996], Rotation: [103.78380666666665, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.0714761585000003], Thrust Rotation: (81.1564, 0.0), Thrust Magnitude: 0.917319
Position: [0.0, 0.0, 99.08569753872496], Rotation: [105.13659166666665, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.0849796235000002], Thrust Rotation: (81.1671, 0.0), Thrust Magnitude: 0.91741
Position: [0.0, 0.0, 99.06488954499996], Rotation: [106.48955333333332, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.0984682100000003], Thrust Rotation: (81.1777, 0.0), Thrust Magnitude: 0.917501
Position: [0.0, 0.0, 99.04385674149995], Rotation: [107.84269666666665, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.1119417545000003], Thrust Rotation: (81.1886, 0.0), Thrust Magnitude: 0.917593
Position: [0.0, 0.0, 99.02259937892495], Rotation: [109.19602499999999, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.1253997665000004], Thrust Rotation: (81.1997, 0.0), Thrust Magnitude: 0.917688
Position: [0.0, 0.0, 99.00111771614995], Rotation: [110.54953666666665, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.1388425730000005], Thrust Rotation: (81.2107, 0.0), Thrust Magnitude: 0.917781
Position: [0.0, 0.0, 98.97941200659994], Rotation: [111.90323666666666, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.1522698470000006], Thrust Rotation: (81.222, 0.0), Thrust Magnitude: 0.917876
Position: [0.0, 0.0, 98.95748250914994], Rotation: [113.25712499999999, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.1656812615000005], Thrust Rotation: (81.2333, 0.0), Thrust Magnitude: 0.917973
Position: [0.0, 0.0, 98.93532948812494], Rotation: [114.61120333333332, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.1790768165000005], Thrust Rotation: (81.2447, 0.0), Thrust Magnitude: 0.91807
Position: [0.0, 0.0, 98.91295320784994], Rotation: [115.96547499999998, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.1924563485000006], Thrust Rotation: (81.2563, 0.0), Thrust Magnitude: 0.918168
Position: [0.0, 0.0, 98.89035393537493], Rotation: [117.31994333333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.2058195305000006], Thrust Rotation: (81.2681, 0.0), Thrust Magnitude: 0.918268
Position: [0.0, 0.0, 98.86753194319994], Rotation: [118.67460833333331, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.2191663625000007], Thrust Rotation: (81.2799, 0.0), Thrust Magnitude: 0.918368
Position: [0.0, 0.0, 98.84448750382494], Rotation: [120.02947166666664, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.2324966810000006], Thrust Rotation: (81.2918, 0.0), Thrust Magnitude: 0.918469
Position: [0.0, 0.0, 98.82122089247494], Rotation: [121.38453499999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.2458103225000006], Thrust Rotation: (81.3038, 0.0), Thrust Magnitude: 0.918571
Position: [0.0, 0.0, 98.79773238709994], Rotation: [122.73979999999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.2591071235000006], Thrust Rotation: (81.3159, 0.0), Thrust Magnitude: 0.918674
Position: [0.0, 0.0, 98.77402226837494], Rotation: [124.09526999999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.2723867570000007], Thrust Rotation: (81.3282, 0.0), Thrust Magnitude: 0.918779
Position: [0.0, 0.0, 98.75009082242494], Rotation: [125.4509483333333, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.2856492230000007], Thrust Rotation: (81.3407, 0.0), Thrust Magnitude: 0.918884
Position: [0.0, 0.0, 98.72593833537493], Rotation: [126.80683499999996, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.2988943580000007], Thrust Rotation: (81.3532, 0.0), Thrust Magnitude: 0.91899
Position: [0.0, 0.0, 98.70156509607493], Rotation: [128.16293166666662, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.3121218350000008], Thrust Rotation: (81.3658, 0.0), Thrust Magnitude: 0.919098
Position: [0.0, 0.0, 98.67697139882493], Rotation: [129.51923999999997, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.3253316540000009], Thrust Rotation: (81.3785, 0.0), Thrust Magnitude: 0.919206
Position: [0.0, 0.0, 98.65215753792494], Rotation: [130.8757633333333, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.338523651500001], Thrust Rotation: (81.3914, 0.0), Thrust Magnitude: 0.919315
Position: [0.0, 0.0, 98.62712381039994], Rotation: [132.23250166666665, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.351697664000001], Thrust Rotation: (81.4043, 0.0), Thrust Magnitude: 0.919425
Position: [0.0, 0.0, 98.60187051599993], Rotation: [133.5894583333333, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.364853528000001], Thrust Rotation: (81.4174, 0.0), Thrust Magnitude: 0.919536
Position: [0.0, 0.0, 98.57639795719993], Rotation: [134.946635, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.377991080000001], Thrust Rotation: (81.4306, 0.0), Thrust Magnitude: 0.919648
Position: [0.0, 0.0, 98.55070643919993], Rotation: [136.304035, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.391109993000001], Thrust Rotation: (81.444, 0.0), Thrust Magnitude: 0.919762
Position: [0.0, 0.0, 98.52479627264992], Rotation: [137.66165833333332, 0.0, 5.40341433471519], Velocity: [0.0, 0.0, -1.404210430500001], Thrust Rotation: (81.4574, 0.0), Thrust Magnitude: 0.919875
