Position: [0.0, 0.0, 99.997275], Rotation: [0.008516699999999999, 0.014074116666666666, 0.8706659182746853], Velocity: [0.05026531549253411, 0.028182503841068015, -0.11230634002154348], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.0008377552582089018, 0.0004697083973511336, 99.9926782276663], Rotation: [0.017033399999999997, 0.02814823333333333, 0.8706659182746853], Velocity: [0.10053063098506822, 0.05636500768213603, -0.22461268004308696], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.0025132657746267054, 0.0014091251920534007, 99.98620968299892], Rotation: [0.025550099999999996, 0.04222235, 0.8706659182746853], Velocity: [0.15079594647760233, 0.08454751152320404, -0.3369190200646304], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.005026531549253411, 0.0028182503841068015, 99.97786936599785], Rotation: [0.034066799999999994, 0.05629646666666666, 0.8706659182746853], Velocity: [0.20106126197013643, 0.11273001536427206, -0.4492253600861739], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.008377552582089018, 0.004697083973511336, 99.96765727666308], Rotation: [0.042583499999999996, 0.07037058333333333, 0.8706659182746853], Velocity: [0.25132657746267056, 0.14091251920534006, -0.5615317001077174], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.012566328873133527, 0.007045625960267004, 99.95557341499462], Rotation: [0.0511002, 0.0844447, 0.8706659182746853], Velocity: [0.30159189295520467, 0.16909502304640808, -0.6738380401292609], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.01759286042238694, 0.009863876344373804, 99.94161778099246], Rotation: [0.0596169, 0.09851881666666666, 0.8706659182746853], Velocity: [0.35185720844773877, 0.1972775268874761, -0.7861443801508043], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.023457147229849252, 0.01315183512583174, 99.92579037465661], Rotation: [0.0681336, 0.11259293333333333, 0.8706659182746853], Velocity: [0.40212252394027287, 0.22546003072854412, -0.8984507201723478], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.030159189295520465, 0.01690950230464081, 99.90809119598707], Rotation: [0.0766503, 0.12666705, 0.8706659182746853], Velocity: [0.45238783943280697, 0.2536425345696121, -1.0107570601938913], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.03769898661940058, 0.02113687788080101, 99.88852024498384], Rotation: [0.085167, 0.14074116666666667, 0.8706659182746853], Velocity: [0.5026531549253411, 0.28182503841068013, -1.1230634002154347], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.0460765392014896, 0.025833961854312346, 99.86707752164692], Rotation: [0.09368370000000001, 0.15481528333333333, 0.8706659182746853], Velocity: [0.5529184704178752, 0.31000754225174815, -1.235369740236978], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
