Position: [0.0, 0.0, 99.997275], Rotation: [0.008920049999999999, 0.009202849999999999, 6.1915501218380715], Velocity: [0.1050965164473109, 0.0623146285538359, 0.03481607307383536], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.0017516086074551816, 0.0010385771425639315, 99.99513026788456], Rotation: [0.017840099999999998, 0.018405699999999997, 6.1915501218380715], Velocity: [0.2101930328946218, 0.1246292571076718, 0.06963214614767071], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.005254825822365545, 0.0031157314276917944, 99.9935658036537], Rotation: [0.026760149999999996, 0.027608549999999996, 6.1915501218380715], Velocity: [0.3152895493419327, 0.18694388566150769, 0.10444821922150607], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.01050965164473109, 0.006231462855383589, 99.99258160730739], Rotation: [0.035680199999999995, 0.036811399999999994, 6.1915501218380715], Velocity: [0.4203860657892436, 0.2492585142153436, 0.13926429229534143], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.017516086074551816, 0.010385771425639314, 99.99217767884564], Rotation: [0.044600249999999994, 0.04601424999999999, 6.1915501218380715], Velocity: [0.5254825822365545, 0.31157314276917947, 0.1740803653691768], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.026274129111827724, 0.015578657138458973, 99.99235401826846], Rotation: [0.05352029999999999, 0.05521709999999999, 6.1915501218380715], Velocity: [0.6305790986838654, 0.37388777132301537, 0.20889643844301214], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.03678378075655882, 0.021810119993842563, 99.99311062557584], Rotation: [0.06244034999999999, 0.06441994999999999, 6.1915501218380715], Velocity: [0.7356756151311763, 0.4362023998768513, 0.2437125115168475], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.049045041008745086, 0.029080159991790085, 99.99444750076779], Rotation: [0.07136039999999999, 0.07362279999999999, 6.1915501218380715], Velocity: [0.8407721315784872, 0.4985170284306872, 0.27852858459068286], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.06305790986838654, 0.037388777132301536, 99.9963646438443], Rotation: [0.08028044999999999, 0.08282564999999999, 6.1915501218380715], Velocity: [0.9458686480257981, 0.5608316569845231, 0.31334465766451824], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.07882238733548318, 0.04673597141537692, 99.99886205480537], Rotation: [0.08920049999999999, 0.09202849999999999, 6.1915501218380715], Velocity: [1.050965164473109, 0.6231462855383589, 0.34816073073835363], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.09633847341003499, 0.05712174284101624, 100.00193973365101], Rotation: [0.09812054999999999, 0.10123134999999998, 6.1915501218380715], Velocity: [1.15606168092042, 0.6854609140921948, 0.382976803812189], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.115606168092042, 0.06854609140921948, 100.00559768038121], Rotation: [0.10704059999999999, 0.11043419999999998, 6.1915501218380715], Velocity: [1.261158197367731, 0.7477755426460306, 0.4177928768860244], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.1366254713815042, 0.08100901711998666, 100.00983589499599], Rotation: [0.11596064999999998, 0.11963704999999998, 6.1915501218380715], Velocity: [1.366254713815042, 0.8100901711998665, 0.4526089499598598], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.15939638327842157, 0.09451051997331777, 100.01465437749532], Rotation: [0.12488069999999998, 0.12883989999999998, 6.1915501218380715], Velocity: [1.471351230262353, 0.8724047997537023, 0.48742502303369517], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.18391890378279413, 0.10905059996921282, 100.02005312787921], Rotation: [0.13380074999999997, 0.13804275, 6.1915501218380715], Velocity: [1.576447746709664, 0.9347194283075382, 0.5222410961075306], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.21019303289462188, 0.12462925710767178, 100.02603214614767], Rotation: [0.14272079999999998, 0.14724559999999998, 6.1915501218380715], Velocity: [1.681544263156975, 0.997034056861374, 0.5570571691813659], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
Position: [0.23821877061390478, 0.1412464913886947, 100.03259143230069], Rotation: [0.15164085, 0.15644844999999996, 6.1915501218380715], Velocity: [1.786640779604286, 1.0593486854152099, 0.5918732422552013], Thrust Rotation: (0.535203, 0.552171), Thrust Magnitude: 1.424665
