Position: [0.0, 0.0, 99.997275], Rotation: [0.0002381, 0.02733925, 1.5653319080837433], Velocity: [0.039041141264716965, 0.0005577796903384503, -0.16622031587803884], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.0006506856877452827, 9.296328172307504e-06, 99.99177966140203], Rotation: [0.0004762, 0.0546785, 1.5653319080837433], Velocity: [0.07808228252943393, 0.0011155593806769005, -0.3324406317560777], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.001952057063235848, 2.788898451692251e-05, 99.9835139842061], Rotation: [0.0007143, 0.08201775, 1.5653319080837433], Velocity: [0.11712342379415089, 0.0016733390710153508, -0.4986609476341165], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.003904114126471696, 5.577796903384502e-05, 99.97247796841219], Rotation: [0.0009524, 0.109357, 1.5653319080837433], Velocity: [0.15616456505886786, 0.002231118761353801, -0.6648812635121554], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.0065068568774528275, 9.296328172307504e-05, 99.95867161402032], Rotation: [0.0011905, 0.13669625, 1.5653319080837433], Velocity: [0.19520570632358483, 0.002788898451692251, -0.8311015793901942], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.009760285316179241, 0.00013944492258461256, 99.94209492103049], Rotation: [0.0014286, 0.1640355, 1.5653319080837433], Velocity: [0.2342468475883018, 0.003346678142030701, -0.9973218952682331], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.013664399442650937, 0.00019522289161845758, 99.92274788944269], Rotation: [0.0016667, 0.19137475, 1.5653319080837433], Velocity: [0.27328798885301875, 0.003904457832369151, -1.1635422111462719], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.018219199256867918, 0.0002602971888246101, 99.90063051925692], Rotation: [0.0019048, 0.21871400000000002, 1.5653319080837433], Velocity: [0.3123291301177357, 0.004462237522707601, -1.3297625270243107], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.02342468475883018, 0.00033466781420307006, 99.87574281047318], Rotation: [0.0021428999999999997, 0.24605325000000003, 1.5653319080837433], Velocity: [0.3513702713824527, 0.005020017213046051, -1.4959828429023496], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.029280855948537726, 0.0004183347677538376, 99.84808476309148], Rotation: [0.0023809999999999994, 0.27339250000000004, 1.5653319080837433], Velocity: [0.39041141264716966, 0.005577796903384501, -1.6622031587803885], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.03578771282599055, 0.0005112980494769126, 99.8176563771118], Rotation: [0.002619099999999999, 0.30073175, 1.5653319080837433], Velocity: [0.42945255391188664, 0.006135576593722951, -1.8284234746584274], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.042945255391188666, 0.0006135576593722951, 99.78445765253416], Rotation: [0.002857199999999999, 0.328071, 1.5653319080837433], Velocity: [0.4684936951766036, 0.006693356284061401, -1.9946437905364662], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.05075348364413206, 0.0007251135974399851, 99.74848858935854], Rotation: [0.0030952999999999987, 0.35541025, 1.5653319080837433], Velocity: [0.5075348364413206, 0.007251135974399851, -2.160864106414505], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.05921239758482074, 0.0008459658636799826, 99.70974918758498], Rotation: [0.0033333999999999985, 0.38274949999999996, 1.5653319080837433], Velocity: [0.5465759777060375, 0.007808915664738301, -2.3270844222925438], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.0683219972132547, 0.0009761144580922877, 99.66823944721344], Rotation: [0.0035714999999999983, 0.41008874999999995, 1.5653319080837433], Velocity: [0.5856171189707544, 0.008366695355076751, -2.4933047381705826], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.07808228252943394, 0.0011155593806769, 99.62395936824393], Rotation: [0.003809599999999998, 0.43742799999999993, 1.5653319080837433], Velocity: [0.6246582602354713, 0.008924475045415202, -2.6595250540486215], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.08849325353335846, 0.00126430063143382, 99.57690895067645], Rotation: [0.004047699999999998, 0.4647672499999999, 1.5653319080837433], Velocity: [0.6636994015001882, 0.009482254735753653, -2.8257453699266604], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.09955491022502827, 0.0014223382103630477, 99.52708819451101], Rotation: [0.004285799999999998, 0.4921064999999999, 1.5653319080837433], Velocity: [0.7027405427649052, 0.010040034426092104, -2.9919656858046992], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
Position: [0.11126725260444335, 0.0015896721174645829, 99.4744970997476], Rotation: [0.004523899999999997, 0.5194457499999999, 1.5653319080837433], Velocity: [0.7417816840296221, 0.010597814116430555, -3.158186001682738], Thrust Rotation: (0.014286, 1.640355), Thrust Magnitude: 0.239387
