Position: [0.0, 0.0, 99.997275], Rotation: [0.003181516666666667, -0.024990266666666667, 3.6364416800735166], Velocity: [-0.1565491803671852, -0.03025218221808375, -0.15209936492999918], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.0026091530061197535, -0.0005042030369680626, 99.9920150105845], Rotation: [0.006363033333333334, -0.049980533333333334, 3.6364416800735166], Velocity: [-0.3130983607343704, -0.0605043644361675, -0.30419872985999835], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.00782745901835926, -0.0015126091109041876, 99.9842200317535], Rotation: [0.00954455, -0.0749708, 3.6364416800735166], Velocity: [-0.4696475411015556, -0.09075654665425126, -0.4562980947899975], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.01565491803671852, -0.003025218221808375, 99.973890063507], Rotation: [0.012726066666666667, -0.09996106666666667, 3.6364416800735166], Velocity: [-0.6261967214687408, -0.121008728872335, -0.6083974597199967], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.026091530061197535, -0.005042030369680626, 99.961025105845], Rotation: [0.015907583333333336, -0.12495133333333333, 3.6364416800735166], Velocity: [-0.7827459018359261, -0.15126091109041875, -0.7604968246499959], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.0391372950917963, -0.007563045554520939, 99.9456251587675], Rotation: [0.019089100000000005, -0.1499416, 3.6364416800735166], Velocity: [-0.9392950822031113, -0.18151309330850252, -0.9125961895799951], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.05479221312851482, -0.010588263776329314, 99.92769022227449], Rotation: [0.022270616666666673, -0.17493186666666669, 3.6364416800735166], Velocity: [-1.0958442625702964, -0.21176527552658628, -1.0646955545099943], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.0730562841713531, -0.014117685035105751, 99.90722029636599], Rotation: [0.025452133333333342, -0.19992213333333336, 3.6364416800735166], Velocity: [-1.2523934429374817, -0.24201745774467004, -1.2167949194399934], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.09392950822031113, -0.01815130933085025, 99.884215381042], Rotation: [0.02863365000000001, -0.22491240000000004, 3.6364416800735166], Velocity: [-1.408942623304667, -0.2722696399627538, -1.3688942843699925], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.1174118852753889, -0.022689136663562814, 99.8586754763025], Rotation: [0.03181516666666668, -0.24990266666666672, 3.6364416800735166], Velocity: [-1.5654918036718521, -0.3025218221808375, -1.5209936492999916], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.14350341533658645, -0.02773116703324344, 99.8306005821475], Rotation: [0.03499668333333335, -0.27489293333333337, 3.6364416800735166], Velocity: [-1.7220409840390374, -0.33277400439892124, -1.6730930142299907], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.17220409840390374, -0.03327740043989213, 99.79999069857699], Rotation: [0.038178200000000016, -0.2998832, 3.6364416800735166], Velocity: [-1.8785901644062226, -0.363026186617005, -1.8251923791599898], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.20351393447734079, -0.039327836883508875, 99.76684582559099], Rotation: [0.041359716666666685, -0.32487346666666667, 3.6364416800735166], Velocity: [-2.0351393447734076, -0.3932783688350887, -1.9772917440899889], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.23743292355689757, -0.045882476364093684, 99.7311659631895], Rotation: [0.044541233333333353, -0.3498637333333333, 3.6364416800735166], Velocity: [-2.191688525140593, -0.42353055105317244, -2.129391109019988], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.2739610656425741, -0.052941318881646555, 99.6929511113725], Rotation: [0.04772275000000002, -0.37485399999999997, 3.6364416800735166], Velocity: [-2.348237705507778, -0.4537827332712562, -2.2814904739499875], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.3130983607343704, -0.06050436443616749, 99.65220127014], Rotation: [0.05090426666666669, -0.3998442666666666, 3.6364416800735166], Velocity: [-2.5047868858749633, -0.4840349154893399, -2.433589838879987], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.3548448088322865, -0.06857161302765649, 99.60891643949199], Rotation: [0.05408578333333336, -0.42483453333333326, 3.6364416800735166], Velocity: [-2.6613360662421486, -0.5142870977074236, -2.585689203809986], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.3992004099363223, -0.07714306465611355, 99.56309661942849], Rotation: [0.05726730000000003, -0.4498247999999999, 3.6364416800735166], Velocity: [-2.817885246609334, -0.5445392799255074, -2.7377885687399854], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.4461651640464778, -0.08621871932153867, 99.5147418099495], Rotation: [0.060448816666666697, -0.47481506666666656, 3.6364416800735166], Velocity: [-2.974434426976519, -0.5747914621435912, -2.8898879336699848], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.4957390711627531, -0.09579857702393185, 99.463852011055], Rotation: [0.06363033333333336, -0.4998053333333332, 3.6364416800735166], Velocity: [-3.1309836073437043, -0.605043644361675, -3.041987298599984], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.5479221312851482, -0.1058826377632931, 99.410427222745], Rotation: [0.06681185000000002, -0.5247955999999999, 3.6364416800735166], Velocity: [-3.2875327877108895, -0.6352958265797588, -3.1940866635299834], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.602714344413663, -0.11647090153962242, 99.3544674450195], Rotation: [0.06999336666666668, -0.5497858666666666, 3.6364416800735166], Velocity: [-3.4440819680780748, -0.6655480087978426, -3.3461860284599827], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.6601157105482975, -0.1275633683529198, 99.2959726778785], Rotation: [0.07317488333333334, -0.5747761333333333, 3.6364416800735166], Velocity: [-3.60063114844526, -0.6958001910159264, -3.498285393389982], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.7201262296890518, -0.13916003820318523, 99.234942921322], Rotation: [0.0763564, -0.5997664, 3.6364416800735166], Velocity: [-3.7571803288124452, -0.7260523732340102, -3.6503847583199813], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.782745901835926, -0.15126091109041873, 99.17137817535], Rotation: [0.07953791666666667, -0.6247566666666667, 3.6364416800735166], Velocity: [-3.9137295091796305, -0.756304555452094, -3.8024841232499806], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.8479747269889198, -0.1638659870146203, 99.1052784399625], Rotation: [0.08271943333333333, -0.6497469333333334, 3.6364416800735166], Velocity: [-4.070278689546815, -0.7865567376701778, -3.95458348817998], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.9158127051480335, -0.1769752659757899, 99.0366437151595], Rotation: [0.08590094999999999, -0.6747372000000001, 3.6364416800735166], Velocity: [-4.2268278699140005, -0.8168089198882615, -4.106682853109979], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-0.9862598363132669, -0.1905887479739276, 98.965474000941], Rotation: [0.08908246666666665, -0.6997274666666669, 3.6364416800735166], Velocity: [-4.383377050281186, -0.8470611021063453, -4.258782218039978], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-1.05931612048462, -0.20470643300903335, 98.89176929730701], Rotation: [0.09226398333333331, -0.7247177333333336, 3.6364416800735166], Velocity: [-4.539926230648371, -0.8773132843244291, -4.410881582969977], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-1.1349815576620927, -0.21932832108110717, 98.8155296042575], Rotation: [0.09544549999999997, -0.7497080000000003, 3.6364416800735166], Velocity: [-4.696475411015556, -0.9075654665425129, -4.562980947899976], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-1.2132561478456854, -0.23445441219014906, 98.73675492179251], Rotation: [0.09862701666666664, -0.774698266666667, 3.6364416800735166], Velocity: [-4.8530245913827414, -0.9378176487605967, -4.715080312829975], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-1.2941398910353976, -0.250084706336159, 98.655445249912], Rotation: [0.1018085333333333, -0.7996885333333337, 3.6364416800735166], Velocity: [-5.009573771749927, -0.9680698309786805, -4.867179677759974], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
