Position: [0.0, 0.0, 99.997275], Rotation: [0.05092811666666666, 0.045191499999999996, 4.393545855766076], Velocity: [-0.009245098928792564, 0.0007961657399007938, -0.1837276035578006], Thrust Rotation: (3.055687, 2.71149), Thrust Magnitude: 0.136113
Position: [-0.00015408498214654272, 1.3269428998346563e-05, 99.99148787327404], Rotation: [0.10185623333333332, 0.09038299999999999, 4.393545855766076], Velocity: [-0.018490197857585128, 0.0015923314798015876, -0.3674552071156012], Thrust Rotation: (3.055687, 2.71149), Thrust Magnitude: 0.136113
Position: [-0.00046225494643962816, 3.980828699503969e-05, 99.98263861982211], Rotation: [0.15278434999999999, 0.1355745, 4.393545855766076], Velocity: [-0.02773529678637769, 0.002388497219702381, -0.5511828106734018], Thrust Rotation: (3.055687, 2.71149), Thrust Magnitude: 0.136113
Position: [-0.0009245098928792563, 7.961657399007938e-05, 99.97072723964422], Rotation: [0.20372205, 0.11039248333333332, 4.393545855766076], Velocity: [0.08305729648340546, -0.007088520083470679, -0.7080168754332904], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.00045977838184416803, -3.8525427401098604e-05, 99.956201958387], Rotation: [0.25465974999999996, 0.08521046666666665, 4.393545855766076], Velocity: [0.19384988975318862, -0.01656553738664374, -0.864850940193179], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.0036906098777306448, -0.00031461771717849427, 99.93906277605045], Rotation: [0.30559744999999994, 0.06002844999999998, 4.393545855766076], Velocity: [0.30464248302297176, -0.0260425546898168, -1.0216850049530675], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.008767984594780174, -0.0007486602953421076, 99.91930969263457], Rotation: [0.3565351499999999, 0.034846433333333315, 4.393545855766076], Velocity: [0.4154350762927549, -0.03551957199298986, -1.178519069712956], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.015691902532992755, -0.0013406531618919385, 99.89694270813935], Rotation: [0.4074728499999999, 0.009664416666666651, 4.393545855766076], Velocity: [0.5262276695625381, -0.04499658929616292, -1.3353531344728444], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.02446236369236839, -0.002090596316827987, 99.8719618225648], Rotation: [0.45841054999999986, -0.015517600000000013, 4.393545855766076], Velocity: [0.6370202628323213, -0.05447360659933598, -1.492187199232733], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.035079368072907076, -0.0029984897601502535, 99.84436703591092], Rotation: [0.5093482499999998, -0.040699616666666674, 4.393545855766076], Velocity: [0.7478128561021045, -0.06395062390250904, -1.6490212639926214], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [0.04754291567460882, -0.004064333491858738, 99.81415834817771], Rotation: [0.5602859499999998, -0.06588163333333334, 4.393545855766076], Velocity: [0.8586054493718877, -0.0734276412056821, -1.8058553287525099], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
