Position: [0.0, 0.0, 99.997275], Rotation: [-0.23606829999999998, 0.10695974999999999, 2.8524757574264608], Velocity: [-0.0005899411783042862, -0.02190031035255211, -0.0014744514717878188], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-9.832352971738104e-06, -0.00036500517254253517, 99.9945254258088], Rotation: [-0.47213659999999996, 0.21391949999999998, 2.8524757574264608], Velocity: [-0.0011798823566085725, -0.04380062070510422, -0.0029489029435756375], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-2.9497058915214313e-05, -0.0010950155176276055, 99.99175127742642], Rotation: [-0.7082048999999999, 0.32087924999999995, 2.8524757574264608], Velocity: [-0.0017698235349128586, -0.06570093105765634, -0.004423354415363456], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-5.8994117830428626e-05, -0.0021900310352552113, 99.98895255485283], Rotation: [-0.9442731999999999, 0.42783899999999997, 2.8524757574264608], Velocity: [-0.002359764713217145, -0.08760124141020845, -0.005897805887151275], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-9.832352971738104e-05, -0.0036500517254253522, 99.98612925808804], Rotation: [-1.1803415, 0.53479875, 2.8524757574264608], Velocity: [-0.0029497058915214313, -0.10950155176276055, -0.007372257358939094], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.00014748529457607156, -0.005475077588138028, 99.98328138713205], Rotation: [-1.4164097999999998, 0.6417585, 2.8524757574264608], Velocity: [-0.0035396470698257176, -0.13140186211531266, -0.008846708830726913], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0002064794124065002, -0.007665108623393238, 99.98040894198488], Rotation: [-1.6524780999999997, 0.74871825, 2.8524757574264608], Velocity: [-0.0041295882481300035, -0.15330217246786476, -0.010321160302514731], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0002753058832086669, -0.010220144831190985, 99.9775119226465], Rotation: [-1.8885463999999996, 0.855678, 2.8524757574264608], Velocity: [-0.00471952942643429, -0.17520248282041687, -0.01179561177430255], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.00035396470698257173, -0.013140186211531266, 99.97459032911692], Rotation: [-2.1246146999999995, 0.9626377500000001, 2.8524757574264608], Velocity: [-0.005309470604738576, -0.19710279317296897, -0.013270063246090369], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.00044245588372821465, -0.016425232764414082, 99.97164416139616], Rotation: [-2.3606829999999994, 1.0695975, 2.8524757574264608], Velocity: [-0.0058994117830428626, -0.21900310352552108, -0.014744514717878188], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0005407794134455957, -0.02007528448983943, 99.96867341948419], Rotation: [-2.5967512999999993, 1.1765572499999999, 2.8524757574264608], Velocity: [-0.006489352961347149, -0.24090341387807318, -0.016218966189666006], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0006489352961347148, -0.02409034138780732, 99.96567810338102], Rotation: [-2.832819599999999, 1.2835169999999998, 2.8524757574264608], Velocity: [-0.007079294139651435, -0.2628037242306253, -0.017693417661453825], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0007669235317955721, -0.02847040345831774, 99.96265821308667], Rotation: [-3.068887899999999, 1.3904767499999997, 2.8524757574264608], Velocity: [-0.007669235317955722, -0.28470403458317745, -0.019167869133241644], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0008947441204281675, -0.033215470701370695, 99.95961374860111], Rotation: [-3.304956199999999, 1.4974364999999996, 2.8524757574264608], Velocity: [-0.008259176496260007, -0.3066043449357296, -0.020642320605029463], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0010323970620325009, -0.03832554311696619, 99.95654470992436], Rotation: [-3.541024499999999, 1.6043962499999995, 2.8524757574264608], Velocity: [-0.008849117674564293, -0.3285046552882817, -0.02211677207681728], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0011798823566085725, -0.043800620705104217, 99.95345109705642], Rotation: [-3.777092799999999, 1.7113559999999994, 2.8524757574264608], Velocity: [-0.00943905885286858, -0.35040496564083384, -0.0235912235486051], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.001337200004156382, -0.04964070346578478, 99.95033290999727], Rotation: [-4.013161099999999, 1.8183157499999993, 2.8524757574264608], Velocity: [-0.010029000031172866, -0.372305275993386, -0.02506567502039292], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0015043500046759298, -0.05584579139900788, 99.94719014874693], Rotation: [-4.249229399999999, 1.9252754999999993, 2.8524757574264608], Velocity: [-0.010618941209477152, -0.3942055863459381, -0.026540126492180738], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0016813323581672157, -0.06241588450477352, 99.9440228133054], Rotation: [-4.485297699999999, 2.0322352499999994, 2.8524757574264608], Velocity: [-0.011208882387781439, -0.41610589669849024, -0.028014577963968557], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0018681470646302397, -0.06935098278308169, 99.94083090367266], Rotation: [-4.721366, 2.1391949999999995, 2.8524757574264608], Velocity: [-0.011798823566085725, -0.4380062070510424, -0.029489029435756375], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0020647941240650018, -0.0766510862339324, 99.93761441984873], Rotation: [-4.9574343, 2.2461547499999996, 2.8524757574264608], Velocity: [-0.012388764744390011, -0.4599065174035945, -0.030963480907544194], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.002271273536471502, -0.08431619485732564, 99.93437336183361], Rotation: [-5.1935026, 2.3531144999999998, 2.8524757574264608], Velocity: [-0.012978705922694298, -0.48180682775614664, -0.03243793237933201], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.00248758530184974, -0.09234630865326142, 99.93110772962729], Rotation: [-5.429570900000001, 2.46007425, 2.8524757574264608], Velocity: [-0.013568647100998584, -0.5037071381086987, -0.03391238385111983], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0027137294201997164, -0.10074142762173974, 99.92781752322976], Rotation: [-5.665639200000001, 2.567034, 2.8524757574264608], Velocity: [-0.01415858827930287, -0.5256074484612508, -0.03538683532290765], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.002949705891521431, -0.10950155176276058, 99.92450274264105], Rotation: [-5.901707500000001, 2.67399375, 2.8524757574264608], Velocity: [-0.014748529457607157, -0.547507758813803, -0.03686128679469547], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0031955147158148835, -0.11862668107632396, 99.92116338786114], Rotation: [-6.137775800000002, 2.7809535000000003, 2.8524757574264608], Velocity: [-0.015338470635911443, -0.5694080691663551, -0.03833573826648329], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0034511558930800743, -0.12811681556242988, 99.91779945889003], Rotation: [-6.373844100000002, 2.8879132500000004, 2.8524757574264608], Velocity: [-0.01592841181421573, -0.5913083795189072, -0.03981018973827111], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.003716629423317003, -0.13797195522107833, 99.91441095572773], Rotation: [-6.6099124000000025, 2.9948730000000006, 2.8524757574264608], Velocity: [-0.016518352992520014, -0.6132086898714594, -0.041284641210058926], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.00399193530652567, -0.14819210005226932, 99.91099787837423], Rotation: [-6.845980700000003, 3.1018327500000007, 2.8524757574264608], Velocity: [-0.0171082941708243, -0.6351090002240115, -0.042759092681846744], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.004277073542706075, -0.15877725005600285, 99.90756022682953], Rotation: [-7.082049000000003, 3.208792500000001, 2.8524757574264608], Velocity: [-0.017698235349128583, -0.6570093105765636, -0.04423354415363456], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.004572044131858218, -0.16972740523227892, 99.90409800109364], Rotation: [-7.3181173000000035, 3.315752250000001, 2.8524757574264608], Velocity: [-0.018288176527432868, -0.6789096209291158, -0.04570799562542238], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.004876847073982099, -0.18104256558109752, 99.90061120116656], Rotation: [-7.554185600000004, 3.422712000000001, 2.8524757574264608], Velocity: [-0.018878117705737153, -0.7008099312816679, -0.0471824470972102], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.005191482369077719, -0.19272273110245866, 99.89709982704827], Rotation: [-7.790253900000004, 3.529671750000001, 2.8524757574264608], Velocity: [-0.019468058884041437, -0.72271024163422, -0.04865689856899802], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.005515950017145076, -0.20476790179636234, 99.89356387873879], Rotation: [-8.026322200000005, 3.6366315000000013, 2.8524757574264608], Velocity: [-0.020058000062345722, -0.7446105519867722, -0.05013135004078584], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.005850250018184171, -0.21717807766280856, 99.89000335623811], Rotation: [-8.262390500000004, 3.7435912500000015, 2.8524757574264608], Velocity: [-0.020647941240650006, -0.7665108623393243, -0.05160580151257366], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.006194382372195004, -0.22995325870179728, 99.88641825954623], Rotation: [-8.498458800000003, 3.8505510000000016, 2.8524757574264608], Velocity: [-0.02123788241895429, -0.7884111726918764, -0.053080252984361476], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.0065483470791775755, -0.24309344491332854, 99.88280858866315], Rotation: [-8.734527100000003, 3.9575107500000017, 2.8524757574264608], Velocity: [-0.021827823597258576, -0.8103114830444286, -0.054554704456149294], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.006912144139131885, -0.25659863629740237, 99.87917434358889], Rotation: [-8.970595400000002, 4.064470500000001, 2.8524757574264608], Velocity: [-0.02241776477556286, -0.8322117933969807, -0.05602915592793711], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.007285773552057933, -0.27046883285401874, 99.87551552432342], Rotation: [-9.206663700000002, 4.171430250000001, 2.8524757574264608], Velocity: [-0.023007705953867145, -0.8541121037495328, -0.05750360739972493], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.007669235317955719, -0.2847040345831776, 99.87183213086675], Rotation: [-9.442732000000001, 4.278390000000001, 2.8524757574264608], Velocity: [-0.02359764713217143, -0.876012414102085, -0.05897805887151275], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.008062529436825243, -0.29930424148487905, 99.8681241632189], Rotation: [-9.6788003, 4.3853497500000005, 2.8524757574264608], Velocity: [-0.024187588310475714, -0.8979127244546371, -0.06045251034330057], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.008465655908666506, -0.314269453559123, 99.86439162137984], Rotation: [-9.9148686, 4.4923095, 2.8524757574264608], Velocity: [-0.02477752948878, -0.9198130348071892, -0.06192696181508839], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.008878614733479506, -0.32959967080590946, 99.86063450534958], Rotation: [-10.1509369, 4.59926925, 2.8524757574264608], Velocity: [-0.025367470667084283, -0.9417133451597414, -0.06340141328687621], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.009301405911264245, -0.3452948932252385, 99.85685281512814], Rotation: [-10.387005199999999, 4.7062289999999996, 2.8524757574264608], Velocity: [-0.025957411845388568, -0.9636136555122935, -0.06487586475866403], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.00973402944202072, -0.36135512081711, 99.85304655071549], Rotation: [-10.623073499999999, 4.813188749999999, 2.8524757574264608], Velocity: [-0.026547353023692852, -0.9855139658648456, -0.06635031623045184], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.010176485325748934, -0.3777803535815241, 99.84921571211164], Rotation: [-10.859141799999998, 4.920148499999999, 2.8524757574264608], Velocity: [-0.027137294201997137, -1.0074142762173977, -0.06782476770223966], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.010628773562448885, -0.39457059151848073, 99.84536029931661], Rotation: [-11.095210099999997, 5.027108249999999, 2.8524757574264608], Velocity: [-0.02772723538030142, -1.0293145865699498, -0.06929921917402748], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.011090894152120575, -0.4117258346279799, 99.84148031233038], Rotation: [-11.331278399999997, 5.134067999999998, 2.8524757574264608], Velocity: [-0.028317176558605706, -1.051214896922502, -0.0707736706458153], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.011562847094764003, -0.4292460829100216, 99.83757575115294], Rotation: [-11.567346699999996, 5.241027749999998, 2.8524757574264608], Velocity: [-0.02890711773690999, -1.073115207275054, -0.07224812211760312], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.01204463239037917, -0.44713133636460584, 99.83364661578432], Rotation: [-11.803414999999996, 5.347987499999998, 2.8524757574264608], Velocity: [-0.029497058915214276, -1.0950155176276062, -0.07372257358939094], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.012536250038966074, -0.4653815949917326, 99.8296929062245], Rotation: [-12.039483299999995, 5.454947249999997, 2.8524757574264608], Velocity: [-0.03008700009351856, -1.1169158279801583, -0.07519702506117876], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.013037700040524717, -0.4839968587914019, 99.82571462247347], Rotation: [-12.275551599999995, 5.561906999999997, 2.8524757574264608], Velocity: [-0.030676941271822845, -1.1388161383327104, -0.07667147653296658], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.013548982395055097, -0.5029771277636138, 99.82171176453126], Rotation: [-12.511619899999994, 5.668866749999997, 2.8524757574264608], Velocity: [-0.03126688245012713, -1.1607164486852626, -0.0781459280047544], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.014070097102557216, -0.5223224019083682, 99.81768433239785], Rotation: [-12.747688199999994, 5.775826499999996, 2.8524757574264608], Velocity: [-0.03185682362843142, -1.1826167590378147, -0.07962037947654221], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.014601044163031074, -0.5420326812256652, 99.81363232607323], Rotation: [-12.983756499999993, 5.882786249999996, 2.8524757574264608], Velocity: [-0.0324467648067357, -1.2045170693903668, -0.08109483094833003], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.015141823576476669, -0.5621079657155046, 99.80955574555743], Rotation: [-13.219824799999992, 5.989745999999996, 2.8524757574264608], Velocity: [-0.03303670598503999, -1.226417379742919, -0.08256928242011785], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.015692435342894002, -0.5825482553778866, 99.80545459085043], Rotation: [-13.455893099999992, 6.0967057499999955, 2.8524757574264608], Velocity: [-0.03362664716334427, -1.248317690095471, -0.08404373389190567], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.016252879462283074, -0.6033535502128111, 99.80132886195223], Rotation: [-13.691961399999991, 6.203665499999995, 2.8524757574264608], Velocity: [-0.034216588341648556, -1.2702180004480232, -0.08551818536369349], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.016823155934643882, -0.6245238502202781, 99.79717855886284], Rotation: [-13.92802969999999, 6.310625249999995, 2.8524757574264608], Velocity: [-0.03480652951995284, -1.2921183108005754, -0.08699263683548131], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.01740326475997643, -0.6460591554002877, 99.79300368158225], Rotation: [-14.16409799999999, 6.4175849999999945, 2.8524757574264608], Velocity: [-0.035396470698257125, -1.3140186211531275, -0.08846708830726913], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.017993205938280715, -0.6679594657528398, 99.78880423011046], Rotation: [-14.40016629999999, 6.524544749999994, 2.8524757574264608], Velocity: [-0.03598641187656141, -1.3359189315056796, -0.08994153977905694], Thrust Rotation: (-14.164098, 6.417585), Thrust Magnitude: 1.0
Position: [-0.01859297946955674, -0.6902247812779345, 99.78458020444748], Rotation: [-14.636188816666657, 6.295495699999994, 2.8524757574264608], Velocity: [-0.03233597318423562, -1.185004355418751, -0.19064253483585564], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.019131912355960668, -0.709974853868247, 99.77867782886688], Rotation: [-14.872211333333324, 6.066446649999993, 2.8524757574264608], Velocity: [-0.028685534491909824, -1.0340897793318224, -0.29134352989265433], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.0196100045974925, -0.7272096835237774, 99.77109710336866], Rotation: [-15.10823384999999, 5.837397599999993, 2.8524757574264608], Velocity: [-0.02503509579958403, -0.8831752032448938, -0.392044524949453], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.020027256194152233, -0.7419292702445256, 99.76183802795283], Rotation: [-15.344256366666658, 5.6083485499999925, 2.8524757574264608], Velocity: [-0.02138465710725824, -0.7322606271579652, -0.4927455200062517], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.02038366714593987, -0.7541336140304917, 99.7509006026194], Rotation: [-15.580278883333325, 5.379299499999992, 2.8524757574264608], Velocity: [-0.017734218414932446, -0.5813460510710367, -0.5934465150630505], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.02067923745285541, -0.7638227148816756, 99.73828482736835], Rotation: [-15.816301399999992, 5.150250449999992, 2.8524757574264608], Velocity: [-0.014083779722606654, -0.4304314749841081, -0.6941475101198492], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.020913967114898853, -0.7709965727980774, 99.72399070219969], Rotation: [-16.05232391666666, 4.921201399999991, 2.8524757574264608], Velocity: [-0.010433341030280863, -0.27951689889717957, -0.794848505176648], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.0210878561320702, -0.7756551877796971, 99.70801822711341], Rotation: [-16.288346433333324, 4.692152349999991, 2.8524757574264608], Velocity: [-0.006782902337955072, -0.12860232281025102, -0.8955495002334467], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.021200904504369452, -0.7777985598265347, 99.69036740210952], Rotation: [-16.52436894999999, 4.4631032999999904, 2.8524757574264608], Velocity: [-0.003132463645629281, 0.02231225327667752, -0.9962504952902455], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.021253112231796607, -0.77742668893859, 99.671038227188], Rotation: [-16.760391466666654, 4.23405424999999, 2.8524757574264608], Velocity: [0.0005179750466965099, 0.17322682936360606, -1.096951490347044], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.021244479314351666, -0.7745395751158632, 99.65003070234889], Rotation: [-16.99641398333332, 4.00500519999999, 2.8524757574264608], Velocity: [0.004168413739022301, 0.3241414054505346, -1.1976524854038428], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.02117500575203463, -0.7691372183583544, 99.62734482759215], Rotation: [-17.232436499999984, 3.7759561499999896, 2.8524757574264608], Velocity: [0.007818852431348092, 0.47505598153746315, -1.2983534804606416], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
Position: [-0.021044691544845496, -0.7612196186660634, 99.60298060291781], Rotation: [-17.46845901666665, 3.5469070999999897, 2.8524757574264608], Velocity: [0.011469291123673883, 0.6259705576243917, -1.3990544755174403], Thrust Rotation: (-14.161351, -13.742943), Thrust Magnitude: 1.0
