Position: [0.0, 0.0, 99.997275], Rotation: [-0.0014199833333333333, 0.00028336666666666665, 1.090964539897338], Velocity: [0.005225803495084164, -0.0004463136658351937, 0.14495326214528367], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [8.70967249180694e-05, -7.438561097253229e-06, 99.99696588770243], Rotation: [-0.0028399666666666665, 0.0005667333333333333, 1.090964539897338], Velocity: [0.010451606990168328, -0.0008926273316703874, 0.28990652429056735], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.0002612901747542082, -2.2315683291759686e-05, 99.99907266310727], Rotation: [-0.00425995, 0.0008500999999999999, 1.090964539897338], Velocity: [0.015677410485252494, -0.0013389409975055812, 0.434859786435851], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.0005225803495084165, -4.463136658351937e-05, 100.00359532621454], Rotation: [-0.005679933333333333, 0.0011334666666666666, 1.090964539897338], Velocity: [0.020903213980336656, -0.001785254663340775, 0.5798130485811347], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.0008709672491806941, -7.438561097253229e-05, 100.01053387702422], Rotation: [-0.007099916666666666, 0.0014168333333333333, 1.090964539897338], Velocity: [0.026129017475420818, -0.0022315683291759688, 0.7247663107264184], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.001306450873771041, -0.00011157841645879844, 100.01988831553632], Rotation: [-0.008519899999999999, 0.0017002, 1.090964539897338], Velocity: [0.03135482097050498, -0.0026778819950111625, 0.8697195728717021], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.0018290312232794575, -0.00015620978304231782, 100.03165864175085], Rotation: [-0.009939883333333331, 0.0019835666666666667, 1.090964539897338], Velocity: [0.03658062446558914, -0.003124195660846356, 1.0146728350169858], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.002438708297705943, -0.00020827971072309042, 100.0458448556678], Rotation: [-0.011359866666666664, 0.002266933333333333, 1.090964539897338], Velocity: [0.041806427960673305, -0.00357050932668155, 1.1596260971622694], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.003135482097050498, -0.00026778819950111623, 100.06244695728716], Rotation: [-0.012779849999999997, 0.0025502999999999997, 1.090964539897338], Velocity: [0.04703223145575747, -0.004016822992516744, 1.304579359307553], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.0039193526213131226, -0.0003347352493763953, 100.08146494660896], Rotation: [-0.01419983333333333, 0.002833666666666666, 1.090964539897338], Velocity: [0.05225803495084163, -0.0044631366583519376, 1.4495326214528366], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.004790319870493816, -0.0004091208603489276, 100.10289882363317], Rotation: [-0.015619816666666663, 0.0031170333333333327, 1.090964539897338], Velocity: [0.05748383844592579, -0.004909450324187131, 1.5944858835981202], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.005748383844592579, -0.0004909450324187131, 100.1267485883598], Rotation: [-0.017039799999999997, 0.003400399999999999, 1.090964539897338], Velocity: [0.06270964194100996, -0.005355763990022325, 1.7394391457434037], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.006793544543609412, -0.0005802077655857518, 100.15301424078886], Rotation: [-0.01845978333333333, 0.0036837666666666657, 1.090964539897338], Velocity: [0.06793544543609413, -0.005802077655857519, 1.8843924078886873], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.007925801967544315, -0.0006769090598500438, 100.18169578092034], Rotation: [-0.019879766666666663, 0.003967133333333333, 1.090964539897338], Velocity: [0.0731612489311783, -0.006248391321692712, 2.029345670033971], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.009145156116397287, -0.000781048915211589, 100.21279320875423], Rotation: [-0.021299749999999996, 0.004250499999999999, 1.090964539897338], Velocity: [0.07838705242626247, -0.006694704987527906, 2.174298932179255], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.010451606990168328, -0.0008926273316703874, 100.24630652429056], Rotation: [-0.02271973333333333, 0.0045338666666666656, 1.090964539897338], Velocity: [0.08361285592134664, -0.0071410186533631, 2.3192521943245388], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.011845154588857439, -0.001011644309226439, 100.2822357275293], Rotation: [-0.02413971666666666, 0.004817233333333332, 1.090964539897338], Velocity: [0.0888386594164308, -0.007587332319198293, 2.4642054564698226], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.01332579891246462, -0.001138099847879744, 100.32058081847046], Rotation: [-0.025559699999999994, 0.0051005999999999985, 1.090964539897338], Velocity: [0.09406446291151498, -0.008033645985033488, 2.6091587186151064], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.014893539960989868, -0.001271993947630302, 100.36134179711405], Rotation: [-0.026979683333333327, 0.005383966666666665, 1.090964539897338], Velocity: [0.09929026640659915, -0.008479959650868682, 2.75411198076039], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.016548377734433187, -0.0014133266084781135, 100.40451866346005], Rotation: [-0.02839966666666666, 0.0056673333333333315, 1.090964539897338], Velocity: [0.10451606990168331, -0.008926273316703877, 2.899065242905674], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
